,entity_id,state,attributes,last_changed,last_updated
0,sensor.hvac_01_temperatura,unknown,{},2024-01-21T07:43:20.698738+00:00,2024-01-21T07:43:20.698738+00:00
1,sensor.hvac_01_temperatura,22.2,{},2024-01-21T07:43:21.492004+00:00,2024-01-21T07:43:21.492004+00:00
2,sensor.hvac_01_temperatura,22.3,{},2024-01-21T07:43:25.432988+00:00,2024-01-21T07:43:25.432988+00:00
3,sensor.hvac_01_temperatura,22.4,{},2024-01-21T07:43:28.675351+00:00,2024-01-21T07:43:28.675351+00:00
4,sensor.hvac_01_temperatura,22.3,{},2024-01-21T07:43:31.915135+00:00,2024-01-21T07:43:31.915135+00:00
5,sensor.hvac_01_temperatura,22.3,{},2024-01-21T07:43:31.937161+00:00,2024-01-21T07:43:31.937161+00:00
6,sensor.hvac_01_temperatura,22.4,{},2024-01-21T07:43:56.305770+00:00,2024-01-21T07:43:56.305770+00:00
7,sensor.hvac_01_temperatura,21.8,{},2024-01-21T07:56:27.763134+00:00,2024-01-21T07:56:27.763134+00:00
8,sensor.hvac_01_temperatura,21.9,{},2024-01-21T08:02:11.881281+00:00,2024-01-21T08:02:11.881281+00:00
9,sensor.hvac_01_temperatura,21.8,{},2024-01-21T09:25:40.562816+00:00,2024-01-21T09:25:40.562816+00:00
10,sensor.hvac_01_temperatura,21.7,{},2024-01-21T10:30:03.425457+00:00,2024-01-21T10:30:03.425457+00:00
11,sensor.hvac_01_temperatura,21.8,{},2024-01-21T10:30:53.789556+00:00,2024-01-21T10:30:53.789556+00:00
12,sensor.hvac_01_temperatura,21.7,{},2024-01-21T11:42:37.266235+00:00,2024-01-21T11:42:37.266235+00:00
13,sensor.hvac_01_temperatura,21.8,{},2024-01-21T12:08:01.764727+00:00,2024-01-21T12:08:01.764727+00:00
14,sensor.hvac_01_temperatura,21.9,{},2024-01-21T15:51:55.480768+00:00,2024-01-21T15:51:55.480768+00:00
15,sensor.hvac_01_temperatura,21.8,{},2024-01-21T15:52:35.830413+00:00,2024-01-21T15:52:35.830413+00:00
16,sensor.hvac_01_temperatura,21.9,{},2024-01-21T16:02:07.820570+00:00,2024-01-21T16:02:07.820570+00:00
17,sensor.hvac_01_temperatura,21.8,{},2024-01-21T16:43:05.685422+00:00,2024-01-21T16:43:05.685422+00:00
18,sensor.hvac_01_temperatura,21.9,{},2024-01-21T16:49:06.947831+00:00,2024-01-21T16:49:06.947831+00:00
19,sensor.hvac_01_temperatura,21.8,{},2024-01-21T17:14:32.690800+00:00,2024-01-21T17:14:32.690800+00:00
20,sensor.hvac_01_temperatura,21.9,{},2024-01-21T17:28:55.618569+00:00,2024-01-21T17:28:55.618569+00:00
21,sensor.hvac_01_temperatura,21.8,{},2024-01-21T17:29:56.028589+00:00,2024-01-21T17:29:56.028589+00:00
22,sensor.hvac_01_temperatura,21.9,{},2024-01-21T17:31:36.548444+00:00,2024-01-21T17:31:36.548444+00:00
23,sensor.hvac_01_temperatura,21.8,{},2024-01-21T17:35:57.546699+00:00,2024-01-21T17:35:57.546699+00:00
24,sensor.hvac_01_temperatura,21.9,{},2024-01-21T17:57:31.666869+00:00,2024-01-21T17:57:31.666869+00:00
25,sensor.hvac_01_temperatura,21.8,{},2024-01-21T18:00:43.309915+00:00,2024-01-21T18:00:43.309915+00:00
26,sensor.hvac_01_temperatura,21.9,{},2024-01-21T18:15:56.376201+00:00,2024-01-21T18:15:56.376201+00:00
27,sensor.hvac_01_temperatura,21.8,{},2024-01-21T18:36:50.388109+00:00,2024-01-21T18:36:50.388109+00:00
28,sensor.hvac_01_temperatura,21.9,{},2024-01-21T20:27:22.575789+00:00,2024-01-21T20:27:22.575789+00:00
