,entity_id,state,attributes,last_changed,last_updated
0,sensor.hvac_02_cisnienie,unknown,{},2024-01-21T07:45:00.154202+00:00,2024-01-21T07:45:00.154202+00:00
1,sensor.hvac_02_cisnienie,1002,{},2024-01-21T07:45:00.947025+00:00,2024-01-21T07:45:00.947025+00:00
2,sensor.hvac_02_cisnienie,1002,{},2024-01-21T07:45:05.433246+00:00,2024-01-21T07:45:05.433246+00:00
3,sensor.hvac_02_cisnienie,1003,{},2024-01-21T08:35:30.574174+00:00,2024-01-21T08:35:30.574174+00:00
4,sensor.hvac_02_cisnienie,1002,{},2024-01-21T09:27:40.333445+00:00,2024-01-21T09:27:40.333445+00:00
5,sensor.hvac_02_cisnienie,1001,{},2024-01-21T11:42:06.423371+00:00,2024-01-21T11:42:06.423371+00:00
6,sensor.hvac_02_cisnienie,1000,{},2024-01-21T13:48:40.763042+00:00,2024-01-21T13:48:40.763042+00:00
7,sensor.hvac_02_cisnienie,1001,{},2024-01-21T14:05:14.119201+00:00,2024-01-21T14:05:14.119201+00:00
8,sensor.hvac_02_cisnienie,1000,{},2024-01-21T14:14:06.472784+00:00,2024-01-21T14:14:06.472784+00:00
9,sensor.hvac_02_cisnienie,999,{},2024-01-21T15:17:49.208030+00:00,2024-01-21T15:17:49.208030+00:00
10,sensor.hvac_02_cisnienie,1000,{},2024-01-21T15:47:14.828222+00:00,2024-01-21T15:47:14.828222+00:00
11,sensor.hvac_02_cisnienie,999,{},2024-01-21T15:51:46.416821+00:00,2024-01-21T15:51:46.416821+00:00
12,sensor.hvac_02_cisnienie,998,{},2024-01-21T17:29:56.415510+00:00,2024-01-21T17:29:56.415510+00:00
13,sensor.hvac_02_cisnienie,999,{},2024-01-21T17:37:59.001292+00:00,2024-01-21T17:37:59.001292+00:00
14,sensor.hvac_02_cisnienie,998,{},2024-01-21T17:43:40.805345+00:00,2024-01-21T17:43:40.805345+00:00
15,sensor.hvac_02_cisnienie,999,{},2024-01-21T18:32:30.262363+00:00,2024-01-21T18:32:30.262363+00:00
16,sensor.hvac_02_cisnienie,998,{},2024-01-21T18:37:41.971430+00:00,2024-01-21T18:37:41.971430+00:00
17,sensor.hvac_02_cisnienie,997,{},2024-01-21T18:57:35.841300+00:00,2024-01-21T18:57:35.841300+00:00
18,sensor.hvac_02_cisnienie,998,{},2024-01-21T19:02:06.851276+00:00,2024-01-21T19:02:06.851276+00:00
