,entity_id,state,attributes,last_changed,last_updated
0,sensor.hvac_02_wilgotnosc,58.3,{},2024-01-21T07:43:31.930103+00:00,2024-01-21T07:43:31.930103+00:00
1,sensor.hvac_02_wilgotnosc,,{},2024-01-21T07:43:31.934590+00:00,2024-01-21T07:43:31.934590+00:00
2,sensor.hvac_02_wilgotnosc,unknown,{},2024-01-21T07:45:00.155747+00:00,2024-01-21T07:45:00.155747+00:00
3,sensor.hvac_02_wilgotnosc,56.7,{},2024-01-21T07:45:00.946924+00:00,2024-01-21T07:45:00.946924+00:00
4,sensor.hvac_02_wilgotnosc,64.5,{},2024-01-21T07:45:04.899394+00:00,2024-01-21T07:45:04.899394+00:00
5,sensor.hvac_02_wilgotnosc,64.5,{},2024-01-21T07:45:05.434387+00:00,2024-01-21T07:45:05.434387+00:00
6,sensor.hvac_02_wilgotnosc,59.5,{},2024-01-21T07:45:08.138277+00:00,2024-01-21T07:45:08.138277+00:00
7,sensor.hvac_02_wilgotnosc,56.1,{},2024-01-21T07:45:11.377841+00:00,2024-01-21T07:45:11.377841+00:00
8,sensor.hvac_02_wilgotnosc,51.1,{},2024-01-21T07:49:46.216630+00:00,2024-01-21T07:49:46.216630+00:00
9,sensor.hvac_02_wilgotnosc,52.2,{},2024-01-21T07:56:21.698382+00:00,2024-01-21T07:56:21.698382+00:00
10,sensor.hvac_02_wilgotnosc,52.6,{},2024-01-21T08:02:29.984403+00:00,2024-01-21T08:02:29.984403+00:00
11,sensor.hvac_02_wilgotnosc,52.9,{},2024-01-21T08:35:30.574075+00:00,2024-01-21T08:35:30.574075+00:00
12,sensor.hvac_02_wilgotnosc,49.2,{},2024-01-21T09:27:40.333309+00:00,2024-01-21T09:27:40.333309+00:00
13,sensor.hvac_02_wilgotnosc,48.5,{},2024-01-21T09:37:22.810453+00:00,2024-01-21T09:37:22.810453+00:00
14,sensor.hvac_02_wilgotnosc,47.4,{},2024-01-21T10:23:20.959052+00:00,2024-01-21T10:23:20.959052+00:00
15,sensor.hvac_02_wilgotnosc,47.2,{},2024-01-21T10:40:14.613312+00:00,2024-01-21T10:40:14.613312+00:00
16,sensor.hvac_02_wilgotnosc,46.5,{},2024-01-21T11:13:40.716069+00:00,2024-01-21T11:13:40.716069+00:00
17,sensor.hvac_02_wilgotnosc,46.3,{},2024-01-21T11:42:06.420389+00:00,2024-01-21T11:42:06.420389+00:00
18,sensor.hvac_02_wilgotnosc,45.8,{},2024-01-21T12:08:01.122655+00:00,2024-01-21T12:08:01.122655+00:00
19,sensor.hvac_02_wilgotnosc,47.2,{},2024-01-21T12:51:09.680861+00:00,2024-01-21T12:51:09.680861+00:00
20,sensor.hvac_02_wilgotnosc,47.3,{},2024-01-21T13:05:02.386390+00:00,2024-01-21T13:05:02.386390+00:00
21,sensor.hvac_02_wilgotnosc,48.9,{},2024-01-21T13:48:40.758659+00:00,2024-01-21T13:48:40.758659+00:00
22,sensor.hvac_02_wilgotnosc,50.1,{},2024-01-21T14:04:03.615832+00:00,2024-01-21T14:04:03.615832+00:00
23,sensor.hvac_02_wilgotnosc,50.2,{},2024-01-21T14:14:06.470178+00:00,2024-01-21T14:14:06.470178+00:00
24,sensor.hvac_02_wilgotnosc,50.0,{},2024-01-21T14:29:29.290322+00:00,2024-01-21T14:29:29.290322+00:00
25,sensor.hvac_02_wilgotnosc,56.1,{},2024-01-21T14:55:34.012800+00:00,2024-01-21T14:55:34.012800+00:00
26,sensor.hvac_02_wilgotnosc,52.6,{},2024-01-21T14:56:44.521799+00:00,2024-01-21T14:56:44.521799+00:00
27,sensor.hvac_02_wilgotnosc,52.2,{},2024-01-21T15:08:07.320403+00:00,2024-01-21T15:08:07.320403+00:00
28,sensor.hvac_02_wilgotnosc,51.8,{},2024-01-21T15:17:49.196954+00:00,2024-01-21T15:17:49.196954+00:00
29,sensor.hvac_02_wilgotnosc,51.5,{},2024-01-21T15:38:43.057398+00:00,2024-01-21T15:38:43.057398+00:00
30,sensor.hvac_02_wilgotnosc,51.8,{},2024-01-21T15:47:14.828138+00:00,2024-01-21T15:47:14.828138+00:00
31,sensor.hvac_02_wilgotnosc,65.1,{},2024-01-21T15:51:46.414431+00:00,2024-01-21T15:51:46.414431+00:00
32,sensor.hvac_02_wilgotnosc,58.4,{},2024-01-21T15:51:56.681354+00:00,2024-01-21T15:51:56.681354+00:00
33,sensor.hvac_02_wilgotnosc,52.9,{},2024-01-21T16:06:29.410549+00:00,2024-01-21T16:06:29.410549+00:00
34,sensor.hvac_02_wilgotnosc,53.4,{},2024-01-21T16:15:11.181997+00:00,2024-01-21T16:15:11.181997+00:00
35,sensor.hvac_02_wilgotnosc,53.1,{},2024-01-21T16:42:16.034018+00:00,2024-01-21T16:42:16.034018+00:00
36,sensor.hvac_02_wilgotnosc,53.8,{},2024-01-21T16:58:39.917755+00:00,2024-01-21T16:58:39.917755+00:00
37,sensor.hvac_02_wilgotnosc,53.6,{},2024-01-21T17:28:56.015354+00:00,2024-01-21T17:28:56.015354+00:00
38,sensor.hvac_02_wilgotnosc,53.5,{},2024-01-21T17:29:56.405517+00:00,2024-01-21T17:29:56.405517+00:00
39,sensor.hvac_02_wilgotnosc,53.8,{},2024-01-21T17:31:16.870364+00:00,2024-01-21T17:31:16.870364+00:00
40,sensor.hvac_02_wilgotnosc,53.9,{},2024-01-21T17:33:17.440161+00:00,2024-01-21T17:33:17.440161+00:00
41,sensor.hvac_02_wilgotnosc,53.8,{},2024-01-21T17:36:18.427623+00:00,2024-01-21T17:36:18.427623+00:00
42,sensor.hvac_02_wilgotnosc,53.7,{},2024-01-21T17:37:59.001186+00:00,2024-01-21T17:37:59.001186+00:00
43,sensor.hvac_02_wilgotnosc,53.5,{},2024-01-21T17:43:40.802922+00:00,2024-01-21T17:43:40.802922+00:00
44,sensor.hvac_02_wilgotnosc,53.4,{},2024-01-21T18:20:47.925129+00:00,2024-01-21T18:20:47.925129+00:00
45,sensor.hvac_02_wilgotnosc,54.0,{},2024-01-21T18:32:30.262285+00:00,2024-01-21T18:32:30.262285+00:00
46,sensor.hvac_02_wilgotnosc,53.3,{},2024-01-21T18:37:41.969209+00:00,2024-01-21T18:37:41.969209+00:00
47,sensor.hvac_02_wilgotnosc,52.0,{},2024-01-21T18:51:44.591152+00:00,2024-01-21T18:51:44.591152+00:00
48,sensor.hvac_02_wilgotnosc,51.5,{},2024-01-21T18:57:35.831291+00:00,2024-01-21T18:57:35.831291+00:00
49,sensor.hvac_02_wilgotnosc,51.4,{},2024-01-21T19:02:06.844797+00:00,2024-01-21T19:02:06.844797+00:00
50,sensor.hvac_02_wilgotnosc,50.6,{},2024-01-21T19:25:41.200006+00:00,2024-01-21T19:25:41.200006+00:00
51,sensor.hvac_02_wilgotnosc,50.7,{},2024-01-21T19:33:43.642055+00:00,2024-01-21T19:33:43.642055+00:00
52,sensor.hvac_02_wilgotnosc,50.0,{},2024-01-21T20:01:58.698094+00:00,2024-01-21T20:01:58.698094+00:00
53,sensor.hvac_02_wilgotnosc,49.9,{},2024-01-21T20:27:14.147281+00:00,2024-01-21T20:27:14.147281+00:00
54,sensor.hvac_02_wilgotnosc,49.5,{},2024-01-21T20:48:18.043094+00:00,2024-01-21T20:48:18.043094+00:00
55,sensor.hvac_02_wilgotnosc,49.6,{},2024-01-21T20:57:09.798963+00:00,2024-01-21T20:57:09.798963+00:00
56,sensor.hvac_02_wilgotnosc,49.3,{},2024-01-21T21:18:23.772147+00:00,2024-01-21T21:18:23.772147+00:00
57,sensor.hvac_02_wilgotnosc,49.6,{},2024-01-21T21:24:55.687453+00:00,2024-01-21T21:24:55.687453+00:00
58,sensor.hvac_02_wilgotnosc,51.4,{},2024-01-21T22:12:44.238467+00:00,2024-01-21T22:12:44.238467+00:00
59,sensor.hvac_02_wilgotnosc,50.9,{},2024-01-21T22:18:36.065920+00:00,2024-01-21T22:18:36.065920+00:00
60,sensor.hvac_02_wilgotnosc,50.2,{},2024-01-21T22:29:28.218403+00:00,2024-01-21T22:29:28.218403+00:00
61,sensor.hvac_02_wilgotnosc,49.9,{},2024-01-21T22:55:43.076285+00:00,2024-01-21T22:55:43.076285+00:00
62,sensor.hvac_02_wilgotnosc,49.5,{},2024-01-21T23:04:04.831997+00:00,2024-01-21T23:04:04.831997+00:00
63,sensor.hvac_02_wilgotnosc,48.4,{},2024-01-21T23:43:32.488246+00:00,2024-01-21T23:43:32.488246+00:00
64,sensor.hvac_02_wilgotnosc,48.3,{},2024-01-21T23:48:53.691164+00:00,2024-01-21T23:48:53.691164+00:00
65,sensor.hvac_02_wilgotnosc,47.9,{},2024-01-21T23:58:45.579307+00:00,2024-01-21T23:58:45.579307+00:00
