,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_2309e207_humidity,76.0,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_2309e207_humidity,77.2,{},2023-09-20T00:06:55.096300+00:00,2023-09-20T00:06:55.096300+00:00
2,sensor.lumi_lumi_weather_2309e207_humidity,78.5,{},2023-09-20T00:40:00.577234+00:00,2023-09-20T00:40:00.577234+00:00
3,sensor.lumi_lumi_weather_2309e207_humidity,79.2,{},2023-09-20T01:13:26.541811+00:00,2023-09-20T01:13:26.541811+00:00
4,sensor.lumi_lumi_weather_2309e207_humidity,79.1,{},2023-09-20T01:30:49.560919+00:00,2023-09-20T01:30:49.560919+00:00
5,sensor.lumi_lumi_weather_2309e207_humidity,79.9,{},2023-09-20T02:25:19.113461+00:00,2023-09-20T02:25:19.113461+00:00
6,sensor.lumi_lumi_weather_2309e207_humidity,82.3,{},2023-09-20T03:22:18.891926+00:00,2023-09-20T03:22:18.891926+00:00
7,sensor.lumi_lumi_weather_2309e207_humidity,83.2,{},2023-09-20T03:32:51.363894+00:00,2023-09-20T03:32:51.363894+00:00
8,sensor.lumi_lumi_weather_2309e207_humidity,83.4,{},2023-09-20T04:13:28.053973+00:00,2023-09-20T04:13:28.053973+00:00
9,sensor.lumi_lumi_weather_2309e207_humidity,83.5,{},2023-09-20T04:44:43.828785+00:00,2023-09-20T04:44:43.828785+00:00
10,sensor.lumi_lumi_weather_2309e207_humidity,83.3,{},2023-09-20T05:05:17.379695+00:00,2023-09-20T05:05:17.379695+00:00
11,sensor.lumi_lumi_weather_2309e207_humidity,81.8,{},2023-09-20T05:46:24.623018+00:00,2023-09-20T05:46:24.623018+00:00
12,sensor.lumi_lumi_weather_2309e207_humidity,80.3,{},2023-09-20T05:58:36.859398+00:00,2023-09-20T05:58:36.859398+00:00
13,sensor.lumi_lumi_weather_2309e207_humidity,79.3,{},2023-09-20T06:18:00.663934+00:00,2023-09-20T06:18:00.663934+00:00
14,sensor.lumi_lumi_weather_2309e207_humidity,76.5,{},2023-09-20T06:47:25.481605+00:00,2023-09-20T06:47:25.481605+00:00
15,sensor.lumi_lumi_weather_2309e207_humidity,75.7,{},2023-09-20T06:57:47.348320+00:00,2023-09-20T06:57:47.348320+00:00
16,sensor.lumi_lumi_weather_2309e207_humidity,74.3,{},2023-09-20T07:15:40.894161+00:00,2023-09-20T07:15:40.894161+00:00
17,sensor.lumi_lumi_weather_2309e207_humidity,71.8,{},2023-09-20T07:34:33.977127+00:00,2023-09-20T07:34:33.977127+00:00
18,sensor.lumi_lumi_weather_2309e207_humidity,70.3,{},2023-09-20T07:57:17.757173+00:00,2023-09-20T07:57:17.757173+00:00
19,sensor.lumi_lumi_weather_2309e207_humidity,70.0,{},2023-09-20T07:58:38.761747+00:00,2023-09-20T07:58:38.761747+00:00
20,sensor.lumi_lumi_weather_2309e207_humidity,69.2,{},2023-09-20T08:18:11.936100+00:00,2023-09-20T08:18:11.936100+00:00
21,sensor.lumi_lumi_weather_2309e207_humidity,65.3,{},2023-09-20T08:37:55.083546+00:00,2023-09-20T08:37:55.083546+00:00
22,sensor.lumi_lumi_weather_2309e207_humidity,64.9,{},2023-09-20T08:48:56.944006+00:00,2023-09-20T08:48:56.944006+00:00
23,sensor.lumi_lumi_weather_2309e207_humidity,63.6,{},2023-09-20T08:51:38.159242+00:00,2023-09-20T08:51:38.159242+00:00
24,sensor.lumi_lumi_weather_2309e207_humidity,59.4,{},2023-09-20T09:13:01.527056+00:00,2023-09-20T09:13:01.527056+00:00
25,sensor.lumi_lumi_weather_2309e207_humidity,58.7,{},2023-09-20T09:38:35.476313+00:00,2023-09-20T09:38:35.476313+00:00
