,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-20T00:06:55.104849+00:00,2023-09-20T00:06:55.104849+00:00
2,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T00:40:00.577309+00:00,2023-09-20T00:40:00.577309+00:00
3,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-20T01:13:26.563745+00:00,2023-09-20T01:13:26.563745+00:00
4,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T01:30:49.561054+00:00,2023-09-20T01:30:49.561054+00:00
5,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-20T03:32:51.373631+00:00,2023-09-20T03:32:51.373631+00:00
6,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T04:13:28.054046+00:00,2023-09-20T04:13:28.054046+00:00
7,sensor.lumi_lumi_weather_2309e207_pressure,987,{},2023-09-20T07:57:17.757264+00:00,2023-09-20T07:57:17.757264+00:00
8,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T07:58:38.774680+00:00,2023-09-20T07:58:38.774680+00:00
9,sensor.lumi_lumi_weather_2309e207_pressure,987,{},2023-09-20T08:48:56.944077+00:00,2023-09-20T08:48:56.944077+00:00
10,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T08:51:38.168584+00:00,2023-09-20T08:51:38.168584+00:00
11,sensor.lumi_lumi_weather_2309e207_pressure,987,{},2023-09-20T09:39:35.903912+00:00,2023-09-20T09:39:35.903912+00:00
12,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T09:54:28.829602+00:00,2023-09-20T09:54:28.829602+00:00
13,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-20T12:00:09.487402+00:00,2023-09-20T12:00:09.487402+00:00
14,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T12:20:52.580419+00:00,2023-09-20T12:20:52.580419+00:00
15,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-20T12:34:45.347838+00:00,2023-09-20T12:34:45.347838+00:00
16,sensor.lumi_lumi_weather_2309e207_pressure,984,{},2023-09-20T16:32:12.813864+00:00,2023-09-20T16:32:12.813864+00:00
17,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-20T16:57:26.532961+00:00,2023-09-20T16:57:26.532961+00:00
18,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T19:00:56.990436+00:00,2023-09-20T19:00:56.990436+00:00
19,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-20T19:10:59.286658+00:00,2023-09-20T19:10:59.286658+00:00
20,sensor.lumi_lumi_weather_2309e207_pressure,986,{},2023-09-20T19:58:16.697042+00:00,2023-09-20T19:58:16.697042+00:00
21,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-20T21:02:17.763206+00:00,2023-09-20T21:02:17.763206+00:00
22,sensor.lumi_lumi_weather_2309e207_pressure,984,{},2023-09-21T00:04:28.626297+00:00,2023-09-21T00:04:28.626297+00:00
23,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-21T00:31:43.097014+00:00,2023-09-21T00:31:43.097014+00:00
24,sensor.lumi_lumi_weather_2309e207_pressure,984,{},2023-09-21T01:03:58.798147+00:00,2023-09-21T01:03:58.798147+00:00
25,sensor.lumi_lumi_weather_2309e207_pressure,985,{},2023-09-21T01:24:22.157546+00:00,2023-09-21T01:24:22.157546+00:00
