,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_2309e207_temperature,15.3,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_2309e207_temperature,15.0,{},2023-09-20T00:06:55.091829+00:00,2023-09-20T00:06:55.091829+00:00
2,sensor.lumi_lumi_weather_2309e207_temperature,14.7,{},2023-09-20T00:40:00.577081+00:00,2023-09-20T00:40:00.577081+00:00
3,sensor.lumi_lumi_weather_2309e207_temperature,14.4,{},2023-09-20T01:13:26.533713+00:00,2023-09-20T01:13:26.533713+00:00
4,sensor.lumi_lumi_weather_2309e207_temperature,14.1,{},2023-09-20T02:25:19.113309+00:00,2023-09-20T02:25:19.113309+00:00
5,sensor.lumi_lumi_weather_2309e207_temperature,14.0,{},2023-09-20T03:22:18.891784+00:00,2023-09-20T03:22:18.891784+00:00
6,sensor.lumi_lumi_weather_2309e207_temperature,13.9,{},2023-09-20T03:32:51.360062+00:00,2023-09-20T03:32:51.360062+00:00
7,sensor.lumi_lumi_weather_2309e207_temperature,13.8,{},2023-09-20T04:13:28.053834+00:00,2023-09-20T04:13:28.053834+00:00
8,sensor.lumi_lumi_weather_2309e207_temperature,13.9,{},2023-09-20T04:44:43.824403+00:00,2023-09-20T04:44:43.824403+00:00
9,sensor.lumi_lumi_weather_2309e207_temperature,14.0,{},2023-09-20T05:05:17.379614+00:00,2023-09-20T05:05:17.379614+00:00
10,sensor.lumi_lumi_weather_2309e207_temperature,14.4,{},2023-09-20T05:46:24.604735+00:00,2023-09-20T05:46:24.604735+00:00
11,sensor.lumi_lumi_weather_2309e207_temperature,14.6,{},2023-09-20T05:58:36.859245+00:00,2023-09-20T05:58:36.859245+00:00
12,sensor.lumi_lumi_weather_2309e207_temperature,14.8,{},2023-09-20T06:18:00.658949+00:00,2023-09-20T06:18:00.658949+00:00
13,sensor.lumi_lumi_weather_2309e207_temperature,15.3,{},2023-09-20T06:47:25.473787+00:00,2023-09-20T06:47:25.473787+00:00
14,sensor.lumi_lumi_weather_2309e207_temperature,15.4,{},2023-09-20T06:57:47.348170+00:00,2023-09-20T06:57:47.348170+00:00
15,sensor.lumi_lumi_weather_2309e207_temperature,15.8,{},2023-09-20T07:15:40.889511+00:00,2023-09-20T07:15:40.889511+00:00
16,sensor.lumi_lumi_weather_2309e207_temperature,16.4,{},2023-09-20T07:34:33.966812+00:00,2023-09-20T07:34:33.966812+00:00
17,sensor.lumi_lumi_weather_2309e207_temperature,16.8,{},2023-09-20T07:57:17.756986+00:00,2023-09-20T07:57:17.756986+00:00
18,sensor.lumi_lumi_weather_2309e207_temperature,16.9,{},2023-09-20T07:58:38.759461+00:00,2023-09-20T07:58:38.759461+00:00
19,sensor.lumi_lumi_weather_2309e207_temperature,17.4,{},2023-09-20T08:18:11.931845+00:00,2023-09-20T08:18:11.931845+00:00
20,sensor.lumi_lumi_weather_2309e207_temperature,17.9,{},2023-09-20T08:37:55.077815+00:00,2023-09-20T08:37:55.077815+00:00
21,sensor.lumi_lumi_weather_2309e207_temperature,18.3,{},2023-09-20T08:48:56.943871+00:00,2023-09-20T08:48:56.943871+00:00
22,sensor.lumi_lumi_weather_2309e207_temperature,18.4,{},2023-09-20T08:51:38.154829+00:00,2023-09-20T08:51:38.154829+00:00
23,sensor.lumi_lumi_weather_2309e207_temperature,18.9,{},2023-09-20T09:13:01.522297+00:00,2023-09-20T09:13:01.522297+00:00
24,sensor.lumi_lumi_weather_2309e207_temperature,19.4,{},2023-09-20T09:38:35.463661+00:00,2023-09-20T09:38:35.463661+00:00
25,sensor.lumi_lumi_weather_2309e207_temperature,19.3,{},2023-09-20T09:39:35.903675+00:00,2023-09-20T09:39:35.903675+00:00
26,sensor.lumi_lumi_weather_2309e207_temperature,19.5,{},2023-09-20T09:54:28.814652+00:00,2023-09-20T09:54:28.814652+00:00
27,sensor.lumi_lumi_weather_2309e207_temperature,20.0,{},2023-09-20T10:13:41.773374+00:00,2023-09-20T10:13:41.773374+00:00
28,sensor.lumi_lumi_weather_2309e207_temperature,20.3,{},2023-09-20T10:32:54.802120+00:00,2023-09-20T10:32:54.802120+00:00
29,sensor.lumi_lumi_weather_2309e207_temperature,20.4,{},2023-09-20T10:48:17.773844+00:00,2023-09-20T10:48:17.773844+00:00
30,sensor.lumi_lumi_weather_2309e207_temperature,20.9,{},2023-09-20T11:12:51.456860+00:00,2023-09-20T11:12:51.456860+00:00
31,sensor.lumi_lumi_weather_2309e207_temperature,21.1,{},2023-09-20T11:27:13.807354+00:00,2023-09-20T11:27:13.807354+00:00
32,sensor.lumi_lumi_weather_2309e207_temperature,21.3,{},2023-09-20T11:33:05.452263+00:00,2023-09-20T11:33:05.452263+00:00
33,sensor.lumi_lumi_weather_2309e207_temperature,21.8,{},2023-09-20T12:00:09.473311+00:00,2023-09-20T12:00:09.473311+00:00
34,sensor.lumi_lumi_weather_2309e207_temperature,22.0,{},2023-09-20T12:20:52.580208+00:00,2023-09-20T12:20:52.580208+00:00
35,sensor.lumi_lumi_weather_2309e207_temperature,22.3,{},2023-09-20T12:34:45.335259+00:00,2023-09-20T12:34:45.335259+00:00
36,sensor.lumi_lumi_weather_2309e207_temperature,22.4,{},2023-09-20T12:57:38.680011+00:00,2023-09-20T12:57:38.680011+00:00
