,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_5df2e107_humidity,50.3,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_5df2e107_humidity,50.0,{},2023-09-20T01:31:19.053777+00:00,2023-09-20T01:31:19.053777+00:00
2,sensor.lumi_lumi_weather_5df2e107_humidity,49.9,{},2023-09-20T01:43:11.891053+00:00,2023-09-20T01:43:11.891053+00:00
3,sensor.lumi_lumi_weather_5df2e107_humidity,50.0,{},2023-09-20T02:28:59.787635+00:00,2023-09-20T02:28:59.787635+00:00
4,sensor.lumi_lumi_weather_5df2e107_humidity,50.9,{},2023-09-20T03:22:39.324936+00:00,2023-09-20T03:22:39.324936+00:00
5,sensor.lumi_lumi_weather_5df2e107_humidity,51.2,{},2023-09-20T03:38:42.746254+00:00,2023-09-20T03:38:42.746254+00:00
6,sensor.lumi_lumi_weather_5df2e107_humidity,51.5,{},2023-09-20T04:20:59.751052+00:00,2023-09-20T04:20:59.751052+00:00
7,sensor.lumi_lumi_weather_5df2e107_humidity,51.4,{},2023-09-20T05:13:18.984083+00:00,2023-09-20T05:13:18.984083+00:00
8,sensor.lumi_lumi_weather_5df2e107_humidity,50.6,{},2023-09-20T06:12:19.354135+00:00,2023-09-20T06:12:19.354135+00:00
9,sensor.lumi_lumi_weather_5df2e107_humidity,49.6,{},2023-09-20T06:24:42.054070+00:00,2023-09-20T06:24:42.054070+00:00
10,sensor.lumi_lumi_weather_5df2e107_humidity,50.7,{},2023-09-20T07:08:19.149013+00:00,2023-09-20T07:08:19.149013+00:00
11,sensor.lumi_lumi_weather_5df2e107_humidity,50.6,{},2023-09-20T07:10:40.340844+00:00,2023-09-20T07:10:40.340844+00:00
12,sensor.lumi_lumi_weather_5df2e107_humidity,51.2,{},2023-09-20T08:06:39.226396+00:00,2023-09-20T08:06:39.226396+00:00
13,sensor.lumi_lumi_weather_5df2e107_humidity,49.6,{},2023-09-20T09:00:18.632283+00:00,2023-09-20T09:00:18.632283+00:00
14,sensor.lumi_lumi_weather_5df2e107_humidity,49.1,{},2023-09-20T09:56:38.098030+00:00,2023-09-20T09:56:38.098030+00:00
15,sensor.lumi_lumi_weather_5df2e107_humidity,50.1,{},2023-09-20T10:45:36.457716+00:00,2023-09-20T10:45:36.457716+00:00
16,sensor.lumi_lumi_weather_5df2e107_humidity,50.2,{},2023-09-20T10:50:57.534023+00:00,2023-09-20T10:50:57.534023+00:00
17,sensor.lumi_lumi_weather_5df2e107_humidity,52.0,{},2023-09-20T11:44:26.527396+00:00,2023-09-20T11:44:26.527396+00:00
18,sensor.lumi_lumi_weather_5df2e107_humidity,52.6,{},2023-09-20T11:52:08.501999+00:00,2023-09-20T11:52:08.501999+00:00
19,sensor.lumi_lumi_weather_5df2e107_humidity,53.0,{},2023-09-20T11:55:29.236289+00:00,2023-09-20T11:55:29.236289+00:00
20,sensor.lumi_lumi_weather_5df2e107_humidity,50.4,{},2023-09-20T12:20:53.329306+00:00,2023-09-20T12:20:53.329306+00:00
21,sensor.lumi_lumi_weather_5df2e107_humidity,50.1,{},2023-09-20T12:43:47.112579+00:00,2023-09-20T12:43:47.112579+00:00
22,sensor.lumi_lumi_weather_5df2e107_humidity,49.3,{},2023-09-20T12:55:29.700071+00:00,2023-09-20T12:55:29.700071+00:00
23,sensor.lumi_lumi_weather_5df2e107_humidity,48.3,{},2023-09-20T13:42:07.182391+00:00,2023-09-20T13:42:07.182391+00:00
24,sensor.lumi_lumi_weather_5df2e107_humidity,48.5,{},2023-09-20T13:42:18.021704+00:00,2023-09-20T13:42:18.021704+00:00
25,sensor.lumi_lumi_weather_5df2e107_humidity,48.0,{},2023-09-20T14:37:06.609776+00:00,2023-09-20T14:37:06.609776+00:00
26,sensor.lumi_lumi_weather_5df2e107_humidity,48.9,{},2023-09-20T14:40:27.397360+00:00,2023-09-20T14:40:27.397360+00:00
27,sensor.lumi_lumi_weather_5df2e107_humidity,48.0,{},2023-09-20T15:36:56.847213+00:00,2023-09-20T15:36:56.847213+00:00
28,sensor.lumi_lumi_weather_5df2e107_humidity,49.1,{},2023-09-20T16:32:06.132663+00:00,2023-09-20T16:32:06.132663+00:00
29,sensor.lumi_lumi_weather_5df2e107_humidity,49.8,{},2023-09-20T17:20:24.214893+00:00,2023-09-20T17:20:24.214893+00:00
30,sensor.lumi_lumi_weather_5df2e107_humidity,51.1,{},2023-09-20T17:58:01.000286+00:00,2023-09-20T17:58:01.000286+00:00
31,sensor.lumi_lumi_weather_5df2e107_humidity,51.4,{},2023-09-20T18:26:15.552746+00:00,2023-09-20T18:26:15.552746+00:00
32,sensor.lumi_lumi_weather_5df2e107_humidity,51.9,{},2023-09-20T19:21:34.831084+00:00,2023-09-20T19:21:34.831084+00:00
33,sensor.lumi_lumi_weather_5df2e107_humidity,52.0,{},2023-09-20T19:43:39.003172+00:00,2023-09-20T19:43:39.003172+00:00
34,sensor.lumi_lumi_weather_5df2e107_humidity,51.7,{},2023-09-20T20:12:33.663702+00:00,2023-09-20T20:12:33.663702+00:00
35,sensor.lumi_lumi_weather_5df2e107_humidity,51.6,{},2023-09-20T20:19:05.473873+00:00,2023-09-20T20:19:05.473873+00:00
36,sensor.lumi_lumi_weather_5df2e107_humidity,51.7,{},2023-09-20T21:07:23.061234+00:00,2023-09-20T21:07:23.061234+00:00
37,sensor.lumi_lumi_weather_5df2e107_humidity,51.0,{},2023-09-20T22:00:32.070378+00:00,2023-09-20T22:00:32.070378+00:00
38,sensor.lumi_lumi_weather_5df2e107_humidity,50.6,{},2023-09-20T22:26:56.980014+00:00,2023-09-20T22:26:56.980014+00:00
39,sensor.lumi_lumi_weather_5df2e107_humidity,50.7,{},2023-09-20T22:54:51.488287+00:00,2023-09-20T22:54:51.488287+00:00
40,sensor.lumi_lumi_weather_5df2e107_humidity,50.5,{},2023-09-20T23:40:39.266068+00:00,2023-09-20T23:40:39.266068+00:00
41,sensor.lumi_lumi_weather_5df2e107_humidity,50.7,{},2023-09-21T00:20:06.566882+00:00,2023-09-21T00:20:06.566882+00:00
42,sensor.lumi_lumi_weather_5df2e107_humidity,50.3,{},2023-09-21T00:44:40.605183+00:00,2023-09-21T00:44:40.605183+00:00
43,sensor.lumi_lumi_weather_5df2e107_humidity,50.4,{},2023-09-21T01:34:59.092376+00:00,2023-09-21T01:34:59.092376+00:00
44,sensor.lumi_lumi_weather_5df2e107_humidity,50.3,{},2023-09-21T01:43:01.166446+00:00,2023-09-21T01:43:01.166446+00:00
45,sensor.lumi_lumi_weather_5df2e107_humidity,50.5,{},2023-09-21T02:26:48.219958+00:00,2023-09-21T02:26:48.219958+00:00
46,sensor.lumi_lumi_weather_5df2e107_humidity,50.4,{},2023-09-21T03:12:06.188462+00:00,2023-09-21T03:12:06.188462+00:00
47,sensor.lumi_lumi_weather_5df2e107_humidity,50.5,{},2023-09-21T03:26:18.734149+00:00,2023-09-21T03:26:18.734149+00:00
48,sensor.lumi_lumi_weather_5df2e107_humidity,50.8,{},2023-09-21T04:12:46.642982+00:00,2023-09-21T04:12:46.642982+00:00
49,sensor.lumi_lumi_weather_5df2e107_humidity,50.9,{},2023-09-21T04:18:17.768989+00:00,2023-09-21T04:18:17.768989+00:00
50,sensor.lumi_lumi_weather_5df2e107_humidity,51.1,{},2023-09-21T05:06:25.944638+00:00,2023-09-21T05:06:25.944638+00:00
51,sensor.lumi_lumi_weather_5df2e107_humidity,52.2,{},2023-09-21T06:12:57.435419+00:00,2023-09-21T06:12:57.435419+00:00
52,sensor.lumi_lumi_weather_5df2e107_humidity,52.4,{},2023-09-21T07:05:06.259624+00:00,2023-09-21T07:05:06.259624+00:00
53,sensor.lumi_lumi_weather_5df2e107_humidity,53.4,{},2023-09-21T07:58:35.250439+00:00,2023-09-21T07:58:35.250439+00:00
54,sensor.lumi_lumi_weather_5df2e107_humidity,53.5,{},2023-09-21T08:18:59.160699+00:00,2023-09-21T08:18:59.160699+00:00
55,sensor.lumi_lumi_weather_5df2e107_humidity,53.2,{},2023-09-21T08:50:14.202421+00:00,2023-09-21T08:50:14.202421+00:00
56,sensor.lumi_lumi_weather_5df2e107_humidity,55.1,{},2023-09-21T09:03:07.090106+00:00,2023-09-21T09:03:07.090106+00:00
57,sensor.lumi_lumi_weather_5df2e107_humidity,54.7,{},2023-09-21T09:41:03.138363+00:00,2023-09-21T09:41:03.138363+00:00
58,sensor.lumi_lumi_weather_5df2e107_humidity,54.5,{},2023-09-21T09:43:54.372887+00:00,2023-09-21T09:43:54.372887+00:00
59,sensor.lumi_lumi_weather_5df2e107_humidity,55.0,{},2023-09-21T10:21:30.253368+00:00,2023-09-21T10:21:30.253368+00:00
60,sensor.lumi_lumi_weather_5df2e107_humidity,55.3,{},2023-09-21T10:44:14.780458+00:00,2023-09-21T10:44:14.780458+00:00
61,sensor.lumi_lumi_weather_5df2e107_humidity,53.9,{},2023-09-21T11:09:28.830268+00:00,2023-09-21T11:09:28.830268+00:00
62,sensor.lumi_lumi_weather_5df2e107_humidity,52.4,{},2023-09-21T11:25:41.493045+00:00,2023-09-21T11:25:41.493045+00:00
63,sensor.lumi_lumi_weather_5df2e107_humidity,52.1,{},2023-09-21T11:40:44.280120+00:00,2023-09-21T11:40:44.280120+00:00
64,sensor.lumi_lumi_weather_5df2e107_humidity,51.5,{},2023-09-21T11:46:35.973744+00:00,2023-09-21T11:46:35.973744+00:00
65,sensor.lumi_lumi_weather_5df2e107_humidity,50.8,{},2023-09-21T12:00:08.294941+00:00,2023-09-21T12:00:08.294941+00:00
66,sensor.lumi_lumi_weather_5df2e107_humidity,49.7,{},2023-09-21T12:21:51.850302+00:00,2023-09-21T12:21:51.850302+00:00
