,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_5df2e107_pressure,988,{},2023-09-20T06:12:19.354209+00:00,2023-09-20T06:12:19.354209+00:00
2,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T06:24:42.057496+00:00,2023-09-20T06:24:42.057496+00:00
3,sensor.lumi_lumi_weather_5df2e107_pressure,988,{},2023-09-20T07:08:19.149086+00:00,2023-09-20T07:08:19.149086+00:00
4,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T08:48:06.437652+00:00,2023-09-20T08:48:06.437652+00:00
5,sensor.lumi_lumi_weather_5df2e107_pressure,988,{},2023-09-20T09:00:18.632358+00:00,2023-09-20T09:00:18.632358+00:00
6,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T10:45:36.468147+00:00,2023-09-20T10:45:36.468147+00:00
7,sensor.lumi_lumi_weather_5df2e107_pressure,988,{},2023-09-20T10:50:57.534152+00:00,2023-09-20T10:50:57.534152+00:00
8,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T11:52:08.509877+00:00,2023-09-20T11:52:08.509877+00:00
9,sensor.lumi_lumi_weather_5df2e107_pressure,986,{},2023-09-20T12:55:29.702531+00:00,2023-09-20T12:55:29.702531+00:00
10,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T13:42:07.182534+00:00,2023-09-20T13:42:07.182534+00:00
11,sensor.lumi_lumi_weather_5df2e107_pressure,986,{},2023-09-20T13:42:18.024585+00:00,2023-09-20T13:42:18.024585+00:00
12,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T15:36:56.847285+00:00,2023-09-20T15:36:56.847285+00:00
13,sensor.lumi_lumi_weather_5df2e107_pressure,986,{},2023-09-20T16:32:06.132845+00:00,2023-09-20T16:32:06.132845+00:00
14,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T17:26:35.427772+00:00,2023-09-20T17:26:35.427772+00:00
15,sensor.lumi_lumi_weather_5df2e107_pressure,986,{},2023-09-20T17:58:01.002431+00:00,2023-09-20T17:58:01.002431+00:00
16,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T18:26:15.552884+00:00,2023-09-20T18:26:15.552884+00:00
17,sensor.lumi_lumi_weather_5df2e107_pressure,986,{},2023-09-20T20:19:05.476983+00:00,2023-09-20T20:19:05.476983+00:00
18,sensor.lumi_lumi_weather_5df2e107_pressure,987,{},2023-09-20T21:07:23.061369+00:00,2023-09-20T21:07:23.061369+00:00
