,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_5df2e107_temperature,23.5,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_5df2e107_temperature,23.4,{},2023-09-20T00:33:48.690044+00:00,2023-09-20T00:33:48.690044+00:00
2,sensor.lumi_lumi_weather_5df2e107_temperature,23.3,{},2023-09-20T01:31:19.053635+00:00,2023-09-20T01:31:19.053635+00:00
3,sensor.lumi_lumi_weather_5df2e107_temperature,23.2,{},2023-09-20T01:43:11.859952+00:00,2023-09-20T01:43:11.859952+00:00
4,sensor.lumi_lumi_weather_5df2e107_temperature,23.1,{},2023-09-20T03:22:39.324782+00:00,2023-09-20T03:22:39.324782+00:00
5,sensor.lumi_lumi_weather_5df2e107_temperature,23.0,{},2023-09-20T03:38:42.741360+00:00,2023-09-20T03:38:42.741360+00:00
6,sensor.lumi_lumi_weather_5df2e107_temperature,23.1,{},2023-09-20T06:12:19.353992+00:00,2023-09-20T06:12:19.353992+00:00
7,sensor.lumi_lumi_weather_5df2e107_temperature,23.0,{},2023-09-20T06:24:42.049833+00:00,2023-09-20T06:24:42.049833+00:00
8,sensor.lumi_lumi_weather_5df2e107_temperature,23.3,{},2023-09-20T07:08:19.148875+00:00,2023-09-20T07:08:19.148875+00:00
9,sensor.lumi_lumi_weather_5df2e107_temperature,23.4,{},2023-09-20T07:10:40.330372+00:00,2023-09-20T07:10:40.330372+00:00
10,sensor.lumi_lumi_weather_5df2e107_temperature,23.6,{},2023-09-20T08:06:39.226238+00:00,2023-09-20T08:06:39.226238+00:00
11,sensor.lumi_lumi_weather_5df2e107_temperature,23.7,{},2023-09-20T09:00:18.632143+00:00,2023-09-20T09:00:18.632143+00:00
12,sensor.lumi_lumi_weather_5df2e107_temperature,23.8,{},2023-09-20T10:45:36.455745+00:00,2023-09-20T10:45:36.455745+00:00
13,sensor.lumi_lumi_weather_5df2e107_temperature,23.9,{},2023-09-20T11:44:26.527256+00:00,2023-09-20T11:44:26.527256+00:00
