,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_dd06e207_humidity,52.3,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_dd06e207_humidity,51.4,{},2023-09-20T00:32:14.464649+00:00,2023-09-20T00:32:14.464649+00:00
2,sensor.lumi_lumi_weather_dd06e207_humidity,51.5,{},2023-09-20T01:30:14.793224+00:00,2023-09-20T01:30:14.793224+00:00
3,sensor.lumi_lumi_weather_dd06e207_humidity,51.0,{},2023-09-20T02:04:11.210928+00:00,2023-09-20T02:04:11.210928+00:00
4,sensor.lumi_lumi_weather_dd06e207_humidity,50.8,{},2023-09-20T02:29:15.608774+00:00,2023-09-20T02:29:15.608774+00:00
5,sensor.lumi_lumi_weather_dd06e207_humidity,51.1,{},2023-09-20T03:20:14.854695+00:00,2023-09-20T03:20:14.854695+00:00
6,sensor.lumi_lumi_weather_dd06e207_humidity,51.4,{},2023-09-20T03:45:29.804082+00:00,2023-09-20T03:45:29.804082+00:00
7,sensor.lumi_lumi_weather_dd06e207_humidity,51.8,{},2023-09-20T04:06:03.483318+00:00,2023-09-20T04:06:03.483318+00:00
8,sensor.lumi_lumi_weather_dd06e207_humidity,51.9,{},2023-09-20T04:10:54.588150+00:00,2023-09-20T04:10:54.588150+00:00
9,sensor.lumi_lumi_weather_dd06e207_humidity,52.1,{},2023-09-20T05:05:54.394118+00:00,2023-09-20T05:05:54.394118+00:00
10,sensor.lumi_lumi_weather_dd06e207_humidity,50.8,{},2023-09-20T05:58:24.200473+00:00,2023-09-20T05:58:24.200473+00:00
11,sensor.lumi_lumi_weather_dd06e207_humidity,50.6,{},2023-09-20T06:12:47.325156+00:00,2023-09-20T06:12:47.325156+00:00
12,sensor.lumi_lumi_weather_dd06e207_humidity,50.5,{},2023-09-20T06:54:05.094435+00:00,2023-09-20T06:54:05.094435+00:00
13,sensor.lumi_lumi_weather_dd06e207_humidity,50.2,{},2023-09-20T08:34:42.763083+00:00,2023-09-20T08:34:42.763083+00:00
14,sensor.lumi_lumi_weather_dd06e207_humidity,49.0,{},2023-09-20T09:20:00.917385+00:00,2023-09-20T09:20:00.917385+00:00
15,sensor.lumi_lumi_weather_dd06e207_humidity,48.9,{},2023-09-20T09:26:52.329703+00:00,2023-09-20T09:26:52.329703+00:00
16,sensor.lumi_lumi_weather_dd06e207_humidity,49.0,{},2023-09-20T09:30:03.656106+00:00,2023-09-20T09:30:03.656106+00:00
17,sensor.lumi_lumi_weather_dd06e207_humidity,49.2,{},2023-09-20T10:00:38.874574+00:00,2023-09-20T10:00:38.874574+00:00
18,sensor.lumi_lumi_weather_dd06e207_humidity,49.4,{},2023-09-20T10:24:33.395604+00:00,2023-09-20T10:24:33.395604+00:00
19,sensor.lumi_lumi_weather_dd06e207_humidity,50.0,{},2023-09-20T10:46:27.813543+00:00,2023-09-20T10:46:27.813543+00:00
20,sensor.lumi_lumi_weather_dd06e207_humidity,50.4,{},2023-09-20T11:21:23.810873+00:00,2023-09-20T11:21:23.810873+00:00
21,sensor.lumi_lumi_weather_dd06e207_humidity,52.3,{},2023-09-20T11:52:09.638762+00:00,2023-09-20T11:52:09.638762+00:00
22,sensor.lumi_lumi_weather_dd06e207_humidity,50.9,{},2023-09-20T12:20:44.632243+00:00,2023-09-20T12:20:44.632243+00:00
23,sensor.lumi_lumi_weather_dd06e207_humidity,49.5,{},2023-09-20T12:54:30.974404+00:00,2023-09-20T12:54:30.974404+00:00
24,sensor.lumi_lumi_weather_dd06e207_humidity,49.2,{},2023-09-20T13:10:23.798233+00:00,2023-09-20T13:10:23.798233+00:00
25,sensor.lumi_lumi_weather_dd06e207_humidity,48.3,{},2023-09-20T13:20:35.759717+00:00,2023-09-20T13:20:35.759717+00:00
26,sensor.lumi_lumi_weather_dd06e207_humidity,48.1,{},2023-09-20T14:13:45.339584+00:00,2023-09-20T14:13:45.339584+00:00
27,sensor.lumi_lumi_weather_dd06e207_humidity,48.0,{},2023-09-20T14:32:19.213900+00:00,2023-09-20T14:32:19.213900+00:00
28,sensor.lumi_lumi_weather_dd06e207_humidity,48.2,{},2023-09-20T15:06:04.988943+00:00,2023-09-20T15:06:04.988943+00:00
29,sensor.lumi_lumi_weather_dd06e207_humidity,48.5,{},2023-09-20T15:57:54.224005+00:00,2023-09-20T15:57:54.224005+00:00
30,sensor.lumi_lumi_weather_dd06e207_humidity,50.0,{},2023-09-20T16:52:34.037544+00:00,2023-09-20T16:52:34.037544+00:00
31,sensor.lumi_lumi_weather_dd06e207_humidity,50.2,{},2023-09-20T17:25:10.127054+00:00,2023-09-20T17:25:10.127054+00:00
32,sensor.lumi_lumi_weather_dd06e207_humidity,51.0,{},2023-09-20T17:47:24.066494+00:00,2023-09-20T17:47:24.066494+00:00
33,sensor.lumi_lumi_weather_dd06e207_humidity,51.4,{},2023-09-20T17:59:06.792640+00:00,2023-09-20T17:59:06.792640+00:00
34,sensor.lumi_lumi_weather_dd06e207_humidity,51.9,{},2023-09-20T18:42:44.194195+00:00,2023-09-20T18:42:44.194195+00:00
35,sensor.lumi_lumi_weather_dd06e207_humidity,52.3,{},2023-09-20T19:39:44.408162+00:00,2023-09-20T19:39:44.408162+00:00
36,sensor.lumi_lumi_weather_dd06e207_humidity,52.9,{},2023-09-20T20:37:54.622676+00:00,2023-09-20T20:37:54.622676+00:00
37,sensor.lumi_lumi_weather_dd06e207_humidity,53.8,{},2023-09-20T21:32:44.421978+00:00,2023-09-20T21:32:44.421978+00:00
38,sensor.lumi_lumi_weather_dd06e207_humidity,53.9,{},2023-09-20T22:00:49.817088+00:00,2023-09-20T22:00:49.817088+00:00
39,sensor.lumi_lumi_weather_dd06e207_humidity,53.8,{},2023-09-20T22:28:54.701159+00:00,2023-09-20T22:28:54.701159+00:00
40,sensor.lumi_lumi_weather_dd06e207_humidity,53.7,{},2023-09-20T22:48:28.651159+00:00,2023-09-20T22:48:28.651159+00:00
41,sensor.lumi_lumi_weather_dd06e207_humidity,53.3,{},2023-09-20T23:28:55.565273+00:00,2023-09-20T23:28:55.565273+00:00
42,sensor.lumi_lumi_weather_dd06e207_humidity,53.4,{},2023-09-21T00:05:02.273183+00:00,2023-09-21T00:05:02.273183+00:00
43,sensor.lumi_lumi_weather_dd06e207_humidity,53.6,{},2023-09-21T00:20:35.096019+00:00,2023-09-21T00:20:35.096019+00:00
44,sensor.lumi_lumi_weather_dd06e207_humidity,52.8,{},2023-09-21T01:15:14.840119+00:00,2023-09-21T01:15:14.840119+00:00
45,sensor.lumi_lumi_weather_dd06e207_humidity,52.6,{},2023-09-21T01:48:41.396800+00:00,2023-09-21T01:48:41.396800+00:00
46,sensor.lumi_lumi_weather_dd06e207_humidity,53.1,{},2023-09-21T02:12:35.631170+00:00,2023-09-21T02:12:35.631170+00:00
47,sensor.lumi_lumi_weather_dd06e207_humidity,52.8,{},2023-09-21T02:43:31.460228+00:00,2023-09-21T02:43:31.460228+00:00
48,sensor.lumi_lumi_weather_dd06e207_humidity,52.7,{},2023-09-21T03:07:35.717432+00:00,2023-09-21T03:07:35.717432+00:00
49,sensor.lumi_lumi_weather_dd06e207_humidity,52.8,{},2023-09-21T03:26:09.509057+00:00,2023-09-21T03:26:09.509057+00:00
50,sensor.lumi_lumi_weather_dd06e207_humidity,52.6,{},2023-09-21T03:58:55.149237+00:00,2023-09-21T03:58:55.149237+00:00
51,sensor.lumi_lumi_weather_dd06e207_humidity,52.5,{},2023-09-21T04:26:30.473181+00:00,2023-09-21T04:26:30.473181+00:00
52,sensor.lumi_lumi_weather_dd06e207_humidity,52.3,{},2023-09-21T04:54:05.325089+00:00,2023-09-21T04:54:05.325089+00:00
53,sensor.lumi_lumi_weather_dd06e207_humidity,52.9,{},2023-09-21T05:46:44.790536+00:00,2023-09-21T05:46:44.790536+00:00
54,sensor.lumi_lumi_weather_dd06e207_humidity,53.0,{},2023-09-21T06:52:47.306970+00:00,2023-09-21T06:52:47.306970+00:00
55,sensor.lumi_lumi_weather_dd06e207_humidity,53.8,{},2023-09-21T07:38:15.021254+00:00,2023-09-21T07:38:15.021254+00:00
56,sensor.lumi_lumi_weather_dd06e207_humidity,54.0,{},2023-09-21T08:21:02.786561+00:00,2023-09-21T08:21:02.786561+00:00
57,sensor.lumi_lumi_weather_dd06e207_humidity,53.9,{},2023-09-21T08:29:24.451579+00:00,2023-09-21T08:29:24.451579+00:00
58,sensor.lumi_lumi_weather_dd06e207_humidity,55.0,{},2023-09-21T09:09:51.802630+00:00,2023-09-21T09:09:51.802630+00:00
59,sensor.lumi_lumi_weather_dd06e207_humidity,55.1,{},2023-09-21T09:22:44.242104+00:00,2023-09-21T09:22:44.242104+00:00
60,sensor.lumi_lumi_weather_dd06e207_humidity,53.9,{},2023-09-21T09:50:59.574799+00:00,2023-09-21T09:50:59.574799+00:00
61,sensor.lumi_lumi_weather_dd06e207_humidity,52.6,{},2023-09-21T10:22:24.947657+00:00,2023-09-21T10:22:24.947657+00:00
62,sensor.lumi_lumi_weather_dd06e207_humidity,51.7,{},2023-09-21T11:12:04.202605+00:00,2023-09-21T11:12:04.202605+00:00
63,sensor.lumi_lumi_weather_dd06e207_humidity,51.4,{},2023-09-21T11:14:04.842158+00:00,2023-09-21T11:14:04.842158+00:00
64,sensor.lumi_lumi_weather_dd06e207_humidity,49.7,{},2023-09-21T11:35:59.230200+00:00,2023-09-21T11:35:59.230200+00:00
65,sensor.lumi_lumi_weather_dd06e207_humidity,49.0,{},2023-09-21T11:53:02.281417+00:00,2023-09-21T11:53:02.281417+00:00
66,sensor.lumi_lumi_weather_dd06e207_humidity,48.6,{},2023-09-21T12:06:24.790275+00:00,2023-09-21T12:06:24.790275+00:00
67,sensor.lumi_lumi_weather_dd06e207_humidity,48.8,{},2023-09-21T12:11:46.465886+00:00,2023-09-21T12:11:46.465886+00:00
68,sensor.lumi_lumi_weather_dd06e207_humidity,49.3,{},2023-09-21T12:28:19.416968+00:00,2023-09-21T12:28:19.416968+00:00
69,sensor.lumi_lumi_weather_dd06e207_humidity,49.7,{},2023-09-21T12:59:14.588733+00:00,2023-09-21T12:59:14.588733+00:00
70,sensor.lumi_lumi_weather_dd06e207_humidity,49.5,{},2023-09-21T13:34:11.270421+00:00,2023-09-21T13:34:11.270421+00:00
71,sensor.lumi_lumi_weather_dd06e207_humidity,49.4,{},2023-09-21T13:56:55.119609+00:00,2023-09-21T13:56:55.119609+00:00
72,sensor.lumi_lumi_weather_dd06e207_humidity,49.5,{},2023-09-21T14:54:15.678063+00:00,2023-09-21T14:54:15.678063+00:00
73,sensor.lumi_lumi_weather_dd06e207_humidity,49.2,{},2023-09-21T14:55:16.138185+00:00,2023-09-21T14:55:16.138185+00:00
74,sensor.lumi_lumi_weather_dd06e207_humidity,51.2,{},2023-09-21T15:46:25.197993+00:00,2023-09-21T15:46:25.197993+00:00
75,sensor.lumi_lumi_weather_dd06e207_humidity,52.1,{},2023-09-21T16:38:14.376563+00:00,2023-09-21T16:38:14.376563+00:00
76,sensor.lumi_lumi_weather_dd06e207_humidity,54.0,{},2023-09-21T17:32:34.412576+00:00,2023-09-21T17:32:34.412576+00:00
77,sensor.lumi_lumi_weather_dd06e207_humidity,55.2,{},2023-09-21T18:24:23.645273+00:00,2023-09-21T18:24:23.645273+00:00
78,sensor.lumi_lumi_weather_dd06e207_humidity,56.1,{},2023-09-21T19:06:41.348675+00:00,2023-09-21T19:06:41.348675+00:00
79,sensor.lumi_lumi_weather_dd06e207_humidity,56.7,{},2023-09-21T20:12:43.124786+00:00,2023-09-21T20:12:43.124786+00:00
80,sensor.lumi_lumi_weather_dd06e207_humidity,56.5,{},2023-09-21T20:18:54.416668+00:00,2023-09-21T20:18:54.416668+00:00
81,sensor.lumi_lumi_weather_dd06e207_humidity,56.9,{},2023-09-21T21:09:43.757060+00:00,2023-09-21T21:09:43.757060+00:00
82,sensor.lumi_lumi_weather_dd06e207_humidity,57.8,{},2023-09-21T21:39:09.338573+00:00,2023-09-21T21:39:09.338573+00:00
83,sensor.lumi_lumi_weather_dd06e207_humidity,57.2,{},2023-09-21T22:02:43.439010+00:00,2023-09-21T22:02:43.439010+00:00
84,sensor.lumi_lumi_weather_dd06e207_humidity,57.3,{},2023-09-21T22:22:07.414395+00:00,2023-09-21T22:22:07.414395+00:00
85,sensor.lumi_lumi_weather_dd06e207_humidity,57.0,{},2023-09-21T22:59:23.801880+00:00,2023-09-21T22:59:23.801880+00:00
86,sensor.lumi_lumi_weather_dd06e207_humidity,57.2,{},2023-09-21T23:42:01.636319+00:00,2023-09-21T23:42:01.636319+00:00
87,sensor.lumi_lumi_weather_dd06e207_humidity,57.1,{},2023-09-21T23:55:04.018902+00:00,2023-09-21T23:55:04.018902+00:00
88,sensor.lumi_lumi_weather_dd06e207_humidity,56.8,{},2023-09-22T00:52:04.183567+00:00,2023-09-22T00:52:04.183567+00:00
89,sensor.lumi_lumi_weather_dd06e207_humidity,56.9,{},2023-09-22T00:59:06.119024+00:00,2023-09-22T00:59:06.119024+00:00
90,sensor.lumi_lumi_weather_dd06e207_humidity,56.5,{},2023-09-22T01:45:13.904339+00:00,2023-09-22T01:45:13.904339+00:00
91,sensor.lumi_lumi_weather_dd06e207_humidity,56.8,{},2023-09-22T02:09:28.674193+00:00,2023-09-22T02:09:28.674193+00:00
92,sensor.lumi_lumi_weather_dd06e207_humidity,56.5,{},2023-09-22T02:39:53.875323+00:00,2023-09-22T02:39:53.875323+00:00
93,sensor.lumi_lumi_weather_dd06e207_humidity,56.3,{},2023-09-22T02:48:06.017625+00:00,2023-09-22T02:48:06.017625+00:00
94,sensor.lumi_lumi_weather_dd06e207_humidity,56.5,{},2023-09-22T03:32:23.565742+00:00,2023-09-22T03:32:23.565742+00:00
95,sensor.lumi_lumi_weather_dd06e207_humidity,55.8,{},2023-09-22T04:30:33.877649+00:00,2023-09-22T04:30:33.877649+00:00
96,sensor.lumi_lumi_weather_dd06e207_humidity,55.9,{},2023-09-22T05:27:34.049927+00:00,2023-09-22T05:27:34.049927+00:00
97,sensor.lumi_lumi_weather_dd06e207_humidity,56.3,{},2023-09-22T06:27:24.704939+00:00,2023-09-22T06:27:24.704939+00:00
98,sensor.lumi_lumi_weather_dd06e207_humidity,56.6,{},2023-09-22T07:02:11.263554+00:00,2023-09-22T07:02:11.263554+00:00
99,sensor.lumi_lumi_weather_dd06e207_humidity,56.8,{},2023-09-22T07:21:04.690559+00:00,2023-09-22T07:21:04.690559+00:00
100,sensor.lumi_lumi_weather_dd06e207_humidity,56.9,{},2023-09-22T07:46:29.679368+00:00,2023-09-22T07:46:29.679368+00:00
101,sensor.lumi_lumi_weather_dd06e207_humidity,57.1,{},2023-09-22T08:05:53.052431+00:00,2023-09-22T08:05:53.052431+00:00
102,sensor.lumi_lumi_weather_dd06e207_humidity,57.2,{},2023-09-22T08:18:15.319565+00:00,2023-09-22T08:18:15.319565+00:00
103,sensor.lumi_lumi_weather_dd06e207_humidity,57.0,{},2023-09-22T09:17:05.762772+00:00,2023-09-22T09:17:05.762772+00:00
104,sensor.lumi_lumi_weather_dd06e207_humidity,57.2,{},2023-09-22T09:34:49.457049+00:00,2023-09-22T09:34:49.457049+00:00
105,sensor.lumi_lumi_weather_dd06e207_humidity,56.8,{},2023-09-22T10:06:24.734626+00:00,2023-09-22T10:06:24.734626+00:00
106,sensor.lumi_lumi_weather_dd06e207_humidity,57.1,{},2023-09-22T10:16:56.708006+00:00,2023-09-22T10:16:56.708006+00:00
107,sensor.lumi_lumi_weather_dd06e207_humidity,58.9,{},2023-09-22T10:34:50.373871+00:00,2023-09-22T10:34:50.373871+00:00
108,sensor.lumi_lumi_weather_dd06e207_humidity,59.7,{},2023-09-22T10:43:42.042458+00:00,2023-09-22T10:43:42.042458+00:00
109,sensor.lumi_lumi_weather_dd06e207_humidity,57.5,{},2023-09-22T11:12:37.047381+00:00,2023-09-22T11:12:37.047381+00:00
110,sensor.lumi_lumi_weather_dd06e207_humidity,56.3,{},2023-09-22T11:48:53.601717+00:00,2023-09-22T11:48:53.601717+00:00
111,sensor.lumi_lumi_weather_dd06e207_humidity,56.2,{},2023-09-22T12:04:16.280859+00:00,2023-09-22T12:04:16.280859+00:00
112,sensor.lumi_lumi_weather_dd06e207_humidity,55.3,{},2023-09-22T12:56:05.818367+00:00,2023-09-22T12:56:05.818367+00:00
