,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_dd06e207_temperature,23.7,{},2023-09-20T00:32:14.464503+00:00,2023-09-20T00:32:14.464503+00:00
2,sensor.lumi_lumi_weather_dd06e207_temperature,23.6,{},2023-09-20T02:04:11.206712+00:00,2023-09-20T02:04:11.206712+00:00
3,sensor.lumi_lumi_weather_dd06e207_temperature,23.5,{},2023-09-20T03:20:14.854542+00:00,2023-09-20T03:20:14.854542+00:00
4,sensor.lumi_lumi_weather_dd06e207_temperature,23.4,{},2023-09-20T05:05:54.393986+00:00,2023-09-20T05:05:54.393986+00:00
5,sensor.lumi_lumi_weather_dd06e207_temperature,23.5,{},2023-09-20T05:58:24.200337+00:00,2023-09-20T05:58:24.200337+00:00
6,sensor.lumi_lumi_weather_dd06e207_temperature,23.6,{},2023-09-20T08:34:42.762955+00:00,2023-09-20T08:34:42.762955+00:00
7,sensor.lumi_lumi_weather_dd06e207_temperature,23.7,{},2023-09-20T09:20:00.907323+00:00,2023-09-20T09:20:00.907323+00:00
8,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-20T10:04:39.807576+00:00,2023-09-20T10:04:39.807576+00:00
9,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-20T11:21:23.810784+00:00,2023-09-20T11:21:23.810784+00:00
10,sensor.lumi_lumi_weather_dd06e207_temperature,24.0,{},2023-09-20T11:52:09.634012+00:00,2023-09-20T11:52:09.634012+00:00
11,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-20T12:20:44.632077+00:00,2023-09-20T12:20:44.632077+00:00
12,sensor.lumi_lumi_weather_dd06e207_temperature,24.0,{},2023-09-20T12:54:30.966789+00:00,2023-09-20T12:54:30.966789+00:00
13,sensor.lumi_lumi_weather_dd06e207_temperature,24.1,{},2023-09-20T13:10:23.793338+00:00,2023-09-20T13:10:23.793338+00:00
14,sensor.lumi_lumi_weather_dd06e207_temperature,24.0,{},2023-09-20T13:20:35.759640+00:00,2023-09-20T13:20:35.759640+00:00
15,sensor.lumi_lumi_weather_dd06e207_temperature,24.2,{},2023-09-20T14:13:45.339426+00:00,2023-09-20T14:13:45.339426+00:00
16,sensor.lumi_lumi_weather_dd06e207_temperature,24.1,{},2023-09-20T14:32:19.209716+00:00,2023-09-20T14:32:19.209716+00:00
17,sensor.lumi_lumi_weather_dd06e207_temperature,24.0,{},2023-09-20T15:06:04.988849+00:00,2023-09-20T15:06:04.988849+00:00
18,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-20T17:25:10.116135+00:00,2023-09-20T17:25:10.116135+00:00
19,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-20T18:42:44.194032+00:00,2023-09-20T18:42:44.194032+00:00
20,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-20T21:32:44.421809+00:00,2023-09-20T21:32:44.421809+00:00
21,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-20T22:00:49.807166+00:00,2023-09-20T22:00:49.807166+00:00
22,sensor.lumi_lumi_weather_dd06e207_temperature,23.7,{},2023-09-21T00:05:02.268950+00:00,2023-09-21T00:05:02.268950+00:00
23,sensor.lumi_lumi_weather_dd06e207_temperature,23.6,{},2023-09-21T01:18:36.197454+00:00,2023-09-21T01:18:36.197454+00:00
24,sensor.lumi_lumi_weather_dd06e207_temperature,23.5,{},2023-09-21T03:26:09.504572+00:00,2023-09-21T03:26:09.504572+00:00
25,sensor.lumi_lumi_weather_dd06e207_temperature,23.4,{},2023-09-21T04:26:30.469099+00:00,2023-09-21T04:26:30.469099+00:00
26,sensor.lumi_lumi_weather_dd06e207_temperature,23.5,{},2023-09-21T04:54:05.324931+00:00,2023-09-21T04:54:05.324931+00:00
27,sensor.lumi_lumi_weather_dd06e207_temperature,23.6,{},2023-09-21T06:52:47.305010+00:00,2023-09-21T06:52:47.305010+00:00
28,sensor.lumi_lumi_weather_dd06e207_temperature,23.7,{},2023-09-21T07:38:15.021078+00:00,2023-09-21T07:38:15.021078+00:00
29,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-21T08:29:24.451431+00:00,2023-09-21T08:29:24.451431+00:00
30,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-21T09:09:51.797747+00:00,2023-09-21T09:09:51.797747+00:00
31,sensor.lumi_lumi_weather_dd06e207_temperature,24.0,{},2023-09-21T09:22:44.241911+00:00,2023-09-21T09:22:44.241911+00:00
32,sensor.lumi_lumi_weather_dd06e207_temperature,24.1,{},2023-09-21T09:50:59.560712+00:00,2023-09-21T09:50:59.560712+00:00
33,sensor.lumi_lumi_weather_dd06e207_temperature,24.0,{},2023-09-21T10:22:24.947461+00:00,2023-09-21T10:22:24.947461+00:00
34,sensor.lumi_lumi_weather_dd06e207_temperature,24.1,{},2023-09-21T10:24:36.097574+00:00,2023-09-21T10:24:36.097574+00:00
35,sensor.lumi_lumi_weather_dd06e207_temperature,24.2,{},2023-09-21T10:46:39.882270+00:00,2023-09-21T10:46:39.882270+00:00
36,sensor.lumi_lumi_weather_dd06e207_temperature,24.3,{},2023-09-21T11:35:59.226179+00:00,2023-09-21T11:35:59.226179+00:00
37,sensor.lumi_lumi_weather_dd06e207_temperature,24.4,{},2023-09-21T12:06:24.790120+00:00,2023-09-21T12:06:24.790120+00:00
38,sensor.lumi_lumi_weather_dd06e207_temperature,24.5,{},2023-09-21T13:34:11.265519+00:00,2023-09-21T13:34:11.265519+00:00
39,sensor.lumi_lumi_weather_dd06e207_temperature,24.6,{},2023-09-21T13:56:55.107400+00:00,2023-09-21T13:56:55.107400+00:00
40,sensor.lumi_lumi_weather_dd06e207_temperature,24.5,{},2023-09-21T15:46:25.197834+00:00,2023-09-21T15:46:25.197834+00:00
41,sensor.lumi_lumi_weather_dd06e207_temperature,24.4,{},2023-09-21T16:38:14.366688+00:00,2023-09-21T16:38:14.366688+00:00
42,sensor.lumi_lumi_weather_dd06e207_temperature,24.3,{},2023-09-21T17:32:34.412378+00:00,2023-09-21T17:32:34.412378+00:00
43,sensor.lumi_lumi_weather_dd06e207_temperature,24.2,{},2023-09-21T18:24:23.645095+00:00,2023-09-21T18:24:23.645095+00:00
44,sensor.lumi_lumi_weather_dd06e207_temperature,24.1,{},2023-09-21T19:23:14.297765+00:00,2023-09-21T19:23:14.297765+00:00
45,sensor.lumi_lumi_weather_dd06e207_temperature,24.0,{},2023-09-21T20:12:43.120753+00:00,2023-09-21T20:12:43.120753+00:00
46,sensor.lumi_lumi_weather_dd06e207_temperature,24.1,{},2023-09-21T20:58:51.690526+00:00,2023-09-21T20:58:51.690526+00:00
47,sensor.lumi_lumi_weather_dd06e207_temperature,24.0,{},2023-09-21T22:22:07.404728+00:00,2023-09-21T22:22:07.404728+00:00
48,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-21T23:42:01.632197+00:00,2023-09-21T23:42:01.632197+00:00
49,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-22T00:52:04.183379+00:00,2023-09-22T00:52:04.183379+00:00
50,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-22T00:59:06.113704+00:00,2023-09-22T00:59:06.113704+00:00
51,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-22T01:45:13.904237+00:00,2023-09-22T01:45:13.904237+00:00
52,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-22T02:09:28.662056+00:00,2023-09-22T02:09:28.662056+00:00
53,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-22T02:39:53.875187+00:00,2023-09-22T02:39:53.875187+00:00
54,sensor.lumi_lumi_weather_dd06e207_temperature,23.7,{},2023-09-22T03:32:23.565659+00:00,2023-09-22T03:32:23.565659+00:00
55,sensor.lumi_lumi_weather_dd06e207_temperature,23.6,{},2023-09-22T05:27:34.049800+00:00,2023-09-22T05:27:34.049800+00:00
56,sensor.lumi_lumi_weather_dd06e207_temperature,23.7,{},2023-09-22T06:27:24.704805+00:00,2023-09-22T06:27:24.704805+00:00
57,sensor.lumi_lumi_weather_dd06e207_temperature,23.8,{},2023-09-22T07:02:11.255540+00:00,2023-09-22T07:02:11.255540+00:00
58,sensor.lumi_lumi_weather_dd06e207_temperature,23.9,{},2023-09-22T07:21:04.690456+00:00,2023-09-22T07:21:04.690456+00:00
