,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_humidity,54.9,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_humidity,54.0,{},2023-09-20T00:56:16.563971+00:00,2023-09-20T00:56:16.563971+00:00
2,sensor.lumi_lumi_weather_humidity,52.8,{},2023-09-20T01:48:04.936131+00:00,2023-09-20T01:48:04.936131+00:00
3,sensor.lumi_lumi_weather_humidity,52.6,{},2023-09-20T02:01:17.648417+00:00,2023-09-20T02:01:17.648417+00:00
4,sensor.lumi_lumi_weather_humidity,53.2,{},2023-09-20T03:40:23.338387+00:00,2023-09-20T03:40:23.338387+00:00
5,sensor.lumi_lumi_weather_humidity,53.1,{},2023-09-20T03:42:53.979156+00:00,2023-09-20T03:42:53.979156+00:00
6,sensor.lumi_lumi_weather_humidity,53.5,{},2023-09-20T04:25:30.543071+00:00,2023-09-20T04:25:30.543071+00:00
7,sensor.lumi_lumi_weather_humidity,53.4,{},2023-09-20T04:39:32.921448+00:00,2023-09-20T04:39:32.921448+00:00
8,sensor.lumi_lumi_weather_humidity,53.3,{},2023-09-20T05:14:28.136335+00:00,2023-09-20T05:14:28.136335+00:00
9,sensor.lumi_lumi_weather_humidity,53.0,{},2023-09-20T05:35:01.261754+00:00,2023-09-20T05:35:01.261754+00:00
10,sensor.lumi_lumi_weather_humidity,52.9,{},2023-09-20T06:13:07.629125+00:00,2023-09-20T06:13:07.629125+00:00
11,sensor.lumi_lumi_weather_humidity,54.7,{},2023-09-20T06:25:29.737062+00:00,2023-09-20T06:25:29.737062+00:00
12,sensor.lumi_lumi_weather_humidity,53.7,{},2023-09-20T07:05:26.328633+00:00,2023-09-20T07:05:26.328633+00:00
13,sensor.lumi_lumi_weather_humidity,55.4,{},2023-09-20T08:09:46.937428+00:00,2023-09-20T08:09:46.937428+00:00
14,sensor.lumi_lumi_weather_humidity,54.9,{},2023-09-20T09:08:46.541148+00:00,2023-09-20T09:08:46.541148+00:00
15,sensor.lumi_lumi_weather_humidity,54.6,{},2023-09-20T09:16:38.486162+00:00,2023-09-20T09:16:38.486162+00:00
16,sensor.lumi_lumi_weather_humidity,54.4,{},2023-09-20T09:18:39.009592+00:00,2023-09-20T09:18:39.009592+00:00
17,sensor.lumi_lumi_weather_humidity,54.3,{},2023-09-20T09:19:59.428273+00:00,2023-09-20T09:19:59.428273+00:00
18,sensor.lumi_lumi_weather_humidity,54.2,{},2023-09-20T09:21:19.841345+00:00,2023-09-20T09:21:19.841345+00:00
19,sensor.lumi_lumi_weather_humidity,53.3,{},2023-09-20T09:59:15.606494+00:00,2023-09-20T09:59:15.606494+00:00
20,sensor.lumi_lumi_weather_humidity,55.6,{},2023-09-20T10:51:03.901438+00:00,2023-09-20T10:51:03.901438+00:00
21,sensor.lumi_lumi_weather_humidity,57.1,{},2023-09-20T11:43:52.865699+00:00,2023-09-20T11:43:52.865699+00:00
22,sensor.lumi_lumi_weather_humidity,59.0,{},2023-09-20T12:00:46.074227+00:00,2023-09-20T12:00:46.074227+00:00
23,sensor.lumi_lumi_weather_humidity,57.4,{},2023-09-20T12:43:52.470906+00:00,2023-09-20T12:43:52.470906+00:00
24,sensor.lumi_lumi_weather_humidity,56.8,{},2023-09-20T12:53:54.710543+00:00,2023-09-20T12:53:54.710543+00:00
25,sensor.lumi_lumi_weather_humidity,56.1,{},2023-09-20T13:14:58.072160+00:00,2023-09-20T13:14:58.072160+00:00
26,sensor.lumi_lumi_weather_humidity,55.9,{},2023-09-20T13:38:41.790611+00:00,2023-09-20T13:38:41.790611+00:00
27,sensor.lumi_lumi_weather_humidity,55.5,{},2023-09-20T14:30:00.022876+00:00,2023-09-20T14:30:00.022876+00:00
28,sensor.lumi_lumi_weather_humidity,55.6,{},2023-09-20T14:33:40.868543+00:00,2023-09-20T14:33:40.868543+00:00
29,sensor.lumi_lumi_weather_humidity,54.3,{},2023-09-20T15:30:33.389401+00:00,2023-09-20T15:30:33.389401+00:00
30,sensor.lumi_lumi_weather_humidity,54.1,{},2023-09-20T16:26:12.432740+00:00,2023-09-20T16:26:12.432740+00:00
31,sensor.lumi_lumi_weather_humidity,54.8,{},2023-09-20T18:16:20.502114+00:00,2023-09-20T18:16:20.502114+00:00
32,sensor.lumi_lumi_weather_humidity,55.2,{},2023-09-20T19:15:20.035870+00:00,2023-09-20T19:15:20.035870+00:00
33,sensor.lumi_lumi_weather_humidity,56.5,{},2023-09-20T20:13:39.304148+00:00,2023-09-20T20:13:39.304148+00:00
34,sensor.lumi_lumi_weather_humidity,61.9,{},2023-09-20T20:18:20.782211+00:00,2023-09-20T20:18:20.782211+00:00
35,sensor.lumi_lumi_weather_humidity,68.5,{},2023-09-20T20:19:01.109918+00:00,2023-09-20T20:19:01.109918+00:00
36,sensor.lumi_lumi_weather_humidity,75.0,{},2023-09-20T20:22:01.795874+00:00,2023-09-20T20:22:01.795874+00:00
37,sensor.lumi_lumi_weather_humidity,81.0,{},2023-09-20T20:29:03.040700+00:00,2023-09-20T20:29:03.040700+00:00
38,sensor.lumi_lumi_weather_humidity,74.8,{},2023-09-20T20:32:03.705228+00:00,2023-09-20T20:32:03.705228+00:00
39,sensor.lumi_lumi_weather_humidity,68.8,{},2023-09-20T20:35:24.414652+00:00,2023-09-20T20:35:24.414652+00:00
40,sensor.lumi_lumi_weather_humidity,62.8,{},2023-09-20T20:44:56.035740+00:00,2023-09-20T20:44:56.035740+00:00
41,sensor.lumi_lumi_weather_humidity,63.1,{},2023-09-20T21:10:00.000201+00:00,2023-09-20T21:10:00.000201+00:00
42,sensor.lumi_lumi_weather_humidity,60.7,{},2023-09-20T21:42:35.485877+00:00,2023-09-20T21:42:35.485877+00:00
43,sensor.lumi_lumi_weather_humidity,60.4,{},2023-09-20T22:07:19.268452+00:00,2023-09-20T22:07:19.268452+00:00
44,sensor.lumi_lumi_weather_humidity,59.1,{},2023-09-20T22:47:15.873847+00:00,2023-09-20T22:47:15.873847+00:00
45,sensor.lumi_lumi_weather_humidity,58.8,{},2023-09-20T23:02:18.327283+00:00,2023-09-20T23:02:18.327283+00:00
46,sensor.lumi_lumi_weather_humidity,57.0,{},2023-09-20T23:55:06.746750+00:00,2023-09-20T23:55:06.746750+00:00
47,sensor.lumi_lumi_weather_humidity,56.9,{},2023-09-21T00:01:17.947766+00:00,2023-09-21T00:01:17.947766+00:00
48,sensor.lumi_lumi_weather_humidity,56.3,{},2023-09-21T00:51:56.152636+00:00,2023-09-21T00:51:56.152636+00:00
49,sensor.lumi_lumi_weather_humidity,56.2,{},2023-09-21T00:55:57.542354+00:00,2023-09-21T00:55:57.542354+00:00
50,sensor.lumi_lumi_weather_humidity,55.7,{},2023-09-21T01:45:14.964845+00:00,2023-09-21T01:45:14.964845+00:00
51,sensor.lumi_lumi_weather_humidity,55.8,{},2023-09-21T01:50:05.957803+00:00,2023-09-21T01:50:05.957803+00:00
52,sensor.lumi_lumi_weather_humidity,55.1,{},2023-09-21T02:27:22.187303+00:00,2023-09-21T02:27:22.187303+00:00
53,sensor.lumi_lumi_weather_humidity,54.6,{},2023-09-21T03:39:34.319915+00:00,2023-09-21T03:39:34.319915+00:00
54,sensor.lumi_lumi_weather_humidity,54.7,{},2023-09-21T04:05:08.795048+00:00,2023-09-21T04:05:08.795048+00:00
55,sensor.lumi_lumi_weather_humidity,54.2,{},2023-09-21T04:53:16.921357+00:00,2023-09-21T04:53:16.921357+00:00
56,sensor.lumi_lumi_weather_humidity,54.7,{},2023-09-21T05:26:52.075418+00:00,2023-09-21T05:26:52.075418+00:00
57,sensor.lumi_lumi_weather_humidity,55.7,{},2023-09-21T06:18:40.493151+00:00,2023-09-21T06:18:40.493151+00:00
58,sensor.lumi_lumi_weather_humidity,56.5,{},2023-09-21T07:15:59.699419+00:00,2023-09-21T07:15:59.699419+00:00
59,sensor.lumi_lumi_weather_humidity,56.9,{},2023-09-21T08:02:27.352089+00:00,2023-09-21T08:02:27.352089+00:00
60,sensor.lumi_lumi_weather_humidity,57.0,{},2023-09-21T08:09:08.552099+00:00,2023-09-21T08:09:08.552099+00:00
61,sensor.lumi_lumi_weather_humidity,57.6,{},2023-09-21T08:44:54.609653+00:00,2023-09-21T08:44:54.609653+00:00
62,sensor.lumi_lumi_weather_humidity,65.4,{},2023-09-21T08:50:45.693279+00:00,2023-09-21T08:50:45.693279+00:00
63,sensor.lumi_lumi_weather_humidity,71.8,{},2023-09-21T08:51:36.056690+00:00,2023-09-21T08:51:36.056690+00:00
64,sensor.lumi_lumi_weather_humidity,77.8,{},2023-09-21T08:54:36.707079+00:00,2023-09-21T08:54:36.707079+00:00
65,sensor.lumi_lumi_weather_humidity,71.6,{},2023-09-21T08:57:47.386882+00:00,2023-09-21T08:57:47.386882+00:00
66,sensor.lumi_lumi_weather_humidity,66.4,{},2023-09-21T09:03:08.476757+00:00,2023-09-21T09:03:08.476757+00:00
67,sensor.lumi_lumi_weather_humidity,65.6,{},2023-09-21T09:06:39.826085+00:00,2023-09-21T09:06:39.826085+00:00
68,sensor.lumi_lumi_weather_humidity,61.3,{},2023-09-21T09:37:04.410933+00:00,2023-09-21T09:37:04.410933+00:00
69,sensor.lumi_lumi_weather_humidity,60.6,{},2023-09-21T09:53:57.090889+00:00,2023-09-21T09:53:57.090889+00:00
70,sensor.lumi_lumi_weather_humidity,59.4,{},2023-09-21T10:20:41.700880+00:00,2023-09-21T10:20:41.700880+00:00
71,sensor.lumi_lumi_weather_humidity,59.5,{},2023-09-21T10:42:05.040669+00:00,2023-09-21T10:42:05.040669+00:00
72,sensor.lumi_lumi_weather_humidity,59.4,{},2023-09-21T10:46:56.054915+00:00,2023-09-21T10:46:56.054915+00:00
73,sensor.lumi_lumi_weather_humidity,59.1,{},2023-09-21T11:10:50.327389+00:00,2023-09-21T11:10:50.327389+00:00
74,sensor.lumi_lumi_weather_humidity,58.4,{},2023-09-21T11:32:13.740050+00:00,2023-09-21T11:32:13.740050+00:00
75,sensor.lumi_lumi_weather_humidity,58.2,{},2023-09-21T11:41:45.362835+00:00,2023-09-21T11:41:45.362835+00:00
76,sensor.lumi_lumi_weather_humidity,57.9,{},2023-09-21T11:52:07.729554+00:00,2023-09-21T11:52:07.729554+00:00
77,sensor.lumi_lumi_weather_humidity,56.6,{},2023-09-21T12:16:51.491165+00:00,2023-09-21T12:16:51.491165+00:00
78,sensor.lumi_lumi_weather_humidity,55.9,{},2023-09-21T12:37:24.763016+00:00,2023-09-21T12:37:24.763016+00:00
79,sensor.lumi_lumi_weather_humidity,59.6,{},2023-09-21T13:18:41.791473+00:00,2023-09-21T13:18:41.791473+00:00
80,sensor.lumi_lumi_weather_humidity,61.0,{},2023-09-21T13:36:44.682109+00:00,2023-09-21T13:36:44.682109+00:00
81,sensor.lumi_lumi_weather_humidity,61.4,{},2023-09-21T13:44:06.621467+00:00,2023-09-21T13:44:06.621467+00:00
82,sensor.lumi_lumi_weather_humidity,58.9,{},2023-09-21T14:19:31.957318+00:00,2023-09-21T14:19:31.957318+00:00
83,sensor.lumi_lumi_weather_humidity,57.7,{},2023-09-21T14:31:23.934212+00:00,2023-09-21T14:31:23.934212+00:00
84,sensor.lumi_lumi_weather_humidity,57.3,{},2023-09-21T15:15:01.049984+00:00,2023-09-21T15:15:01.049984+00:00
85,sensor.lumi_lumi_weather_humidity,57.5,{},2023-09-21T16:18:43.332397+00:00,2023-09-21T16:18:43.332397+00:00
86,sensor.lumi_lumi_weather_humidity,58.1,{},2023-09-21T16:47:18.189177+00:00,2023-09-21T16:47:18.189177+00:00
87,sensor.lumi_lumi_weather_humidity,58.5,{},2023-09-21T17:16:11.508385+00:00,2023-09-21T17:16:11.508385+00:00
88,sensor.lumi_lumi_weather_humidity,60.6,{},2023-09-21T18:08:39.950682+00:00,2023-09-21T18:08:39.950682+00:00
89,sensor.lumi_lumi_weather_humidity,61.3,{},2023-09-21T19:00:58.338873+00:00,2023-09-21T19:00:58.338873+00:00
90,sensor.lumi_lumi_weather_humidity,61.5,{},2023-09-21T19:54:17.193973+00:00,2023-09-21T19:54:17.193973+00:00
91,sensor.lumi_lumi_weather_humidity,61.6,{},2023-09-21T20:03:49.416324+00:00,2023-09-21T20:03:49.416324+00:00
92,sensor.lumi_lumi_weather_humidity,61.7,{},2023-09-21T20:52:57.236525+00:00,2023-09-21T20:52:57.236525+00:00
93,sensor.lumi_lumi_weather_humidity,68.2,{},2023-09-21T21:05:29.858739+00:00,2023-09-21T21:05:29.858739+00:00
94,sensor.lumi_lumi_weather_humidity,74.2,{},2023-09-21T21:07:30.345657+00:00,2023-09-21T21:07:30.345657+00:00
95,sensor.lumi_lumi_weather_humidity,80.5,{},2023-09-21T21:19:22.302134+00:00,2023-09-21T21:19:22.302134+00:00
96,sensor.lumi_lumi_weather_humidity,74.0,{},2023-09-21T21:23:23.131167+00:00,2023-09-21T21:23:23.131167+00:00
97,sensor.lumi_lumi_weather_humidity,68.0,{},2023-09-21T21:47:26.853563+00:00,2023-09-21T21:47:26.853563+00:00
98,sensor.lumi_lumi_weather_humidity,67.5,{},2023-09-21T21:49:17.431296+00:00,2023-09-21T21:49:17.431296+00:00
99,sensor.lumi_lumi_weather_humidity,65.5,{},2023-09-21T22:03:50.370925+00:00,2023-09-21T22:03:50.370925+00:00
100,sensor.lumi_lumi_weather_humidity,64.4,{},2023-09-21T22:41:06.040415+00:00,2023-09-21T22:41:06.040415+00:00
101,sensor.lumi_lumi_weather_humidity,63.4,{},2023-09-21T23:33:04.701952+00:00,2023-09-21T23:33:04.701952+00:00
102,sensor.lumi_lumi_weather_humidity,63.1,{},2023-09-22T00:24:12.888083+00:00,2023-09-22T00:24:12.888083+00:00
103,sensor.lumi_lumi_weather_humidity,63.0,{},2023-09-22T00:28:04.258448+00:00,2023-09-22T00:28:04.258448+00:00
104,sensor.lumi_lumi_weather_humidity,62.0,{},2023-09-22T01:24:12.681520+00:00,2023-09-22T01:24:12.681520+00:00
105,sensor.lumi_lumi_weather_humidity,61.8,{},2023-09-22T01:34:14.953834+00:00,2023-09-22T01:34:14.953834+00:00
106,sensor.lumi_lumi_weather_humidity,61.2,{},2023-09-22T02:17:11.542531+00:00,2023-09-22T02:17:11.542531+00:00
107,sensor.lumi_lumi_weather_humidity,61.1,{},2023-09-22T02:24:23.355214+00:00,2023-09-22T02:24:23.355214+00:00
108,sensor.lumi_lumi_weather_humidity,60.6,{},2023-09-22T03:07:09.797467+00:00,2023-09-22T03:07:09.797467+00:00
109,sensor.lumi_lumi_weather_humidity,60.4,{},2023-09-22T03:47:16.626502+00:00,2023-09-22T03:47:16.626502+00:00
110,sensor.lumi_lumi_weather_humidity,60.2,{},2023-09-22T04:13:20.695868+00:00,2023-09-22T04:13:20.695868+00:00
111,sensor.lumi_lumi_weather_humidity,59.9,{},2023-09-22T04:41:55.661384+00:00,2023-09-22T04:41:55.661384+00:00
112,sensor.lumi_lumi_weather_humidity,59.8,{},2023-09-22T05:10:20.068209+00:00,2023-09-22T05:10:20.068209+00:00
113,sensor.lumi_lumi_weather_humidity,60.4,{},2023-09-22T06:06:09.196331+00:00,2023-09-22T06:06:09.196331+00:00
114,sensor.lumi_lumi_weather_humidity,60.1,{},2023-09-22T07:05:16.135008+00:00,2023-09-22T07:05:16.135008+00:00
115,sensor.lumi_lumi_weather_humidity,60.5,{},2023-09-22T07:47:43.946766+00:00,2023-09-22T07:47:43.946766+00:00
116,sensor.lumi_lumi_weather_humidity,61.8,{},2023-09-22T08:53:35.407429+00:00,2023-09-22T08:53:35.407429+00:00
117,sensor.lumi_lumi_weather_humidity,61.4,{},2023-09-22T09:34:30.750022+00:00,2023-09-22T09:34:30.750022+00:00
118,sensor.lumi_lumi_weather_humidity,64.2,{},2023-09-22T10:36:11.235022+00:00,2023-09-22T10:36:11.235022+00:00
119,sensor.lumi_lumi_weather_humidity,65.5,{},2023-09-22T10:51:36.069019+00:00,2023-09-22T10:51:36.069019+00:00
120,sensor.lumi_lumi_weather_humidity,65.4,{},2023-09-22T10:52:56.552093+00:00,2023-09-22T10:52:56.552093+00:00
121,sensor.lumi_lumi_weather_humidity,62.1,{},2023-09-22T11:48:43.001014+00:00,2023-09-22T11:48:43.001014+00:00
122,sensor.lumi_lumi_weather_humidity,62.0,{},2023-09-22T11:49:43.448267+00:00,2023-09-22T11:49:43.448267+00:00
123,sensor.lumi_lumi_weather_humidity,61.6,{},2023-09-22T12:05:25.348080+00:00,2023-09-22T12:05:25.348080+00:00
124,sensor.lumi_lumi_weather_humidity,61.2,{},2023-09-22T12:51:02.186415+00:00,2023-09-22T12:51:02.186415+00:00
125,sensor.lumi_lumi_weather_humidity,61.0,{},2023-09-22T12:55:43.644796+00:00,2023-09-22T12:55:43.644796+00:00
126,sensor.lumi_lumi_weather_humidity,60.5,{},2023-09-22T13:44:07.602972+00:00,2023-09-22T13:44:07.602972+00:00
