,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_pressure,985,{},2023-09-20T02:01:17.655650+00:00,2023-09-20T02:01:17.655650+00:00
2,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T02:46:14.513003+00:00,2023-09-20T02:46:14.513003+00:00
3,sensor.lumi_lumi_weather_pressure,985,{},2023-09-20T03:40:23.351582+00:00,2023-09-20T03:40:23.351582+00:00
4,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T03:42:53.979291+00:00,2023-09-20T03:42:53.979291+00:00
5,sensor.lumi_lumi_weather_pressure,985,{},2023-09-20T04:25:30.545671+00:00,2023-09-20T04:25:30.545671+00:00
6,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T04:39:32.921600+00:00,2023-09-20T04:39:32.921600+00:00
7,sensor.lumi_lumi_weather_pressure,987,{},2023-09-20T07:15:58.155196+00:00,2023-09-20T07:15:58.155196+00:00
8,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T09:16:38.496304+00:00,2023-09-20T09:16:38.496304+00:00
9,sensor.lumi_lumi_weather_pressure,985,{},2023-09-20T12:53:54.722150+00:00,2023-09-20T12:53:54.722150+00:00
10,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T13:38:41.790750+00:00,2023-09-20T13:38:41.790750+00:00
11,sensor.lumi_lumi_weather_pressure,985,{},2023-09-20T14:30:00.031937+00:00,2023-09-20T14:30:00.031937+00:00
12,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T18:16:20.502267+00:00,2023-09-20T18:16:20.502267+00:00
13,sensor.lumi_lumi_weather_pressure,985,{},2023-09-20T18:17:41.503576+00:00,2023-09-20T18:17:41.503576+00:00
14,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T19:15:20.036040+00:00,2023-09-20T19:15:20.036040+00:00
15,sensor.lumi_lumi_weather_pressure,985,{},2023-09-20T20:18:20.786242+00:00,2023-09-20T20:18:20.786242+00:00
16,sensor.lumi_lumi_weather_pressure,986,{},2023-09-20T21:10:00.000330+00:00,2023-09-20T21:10:00.000330+00:00
17,sensor.lumi_lumi_weather_pressure,985,{},2023-09-20T21:42:35.488035+00:00,2023-09-20T21:42:35.488035+00:00
18,sensor.lumi_lumi_weather_pressure,984,{},2023-09-20T23:55:06.748731+00:00,2023-09-20T23:55:06.748731+00:00
19,sensor.lumi_lumi_weather_pressure,985,{},2023-09-21T00:01:17.947839+00:00,2023-09-21T00:01:17.947839+00:00
20,sensor.lumi_lumi_weather_pressure,984,{},2023-09-21T00:55:57.544794+00:00,2023-09-21T00:55:57.544794+00:00
21,sensor.lumi_lumi_weather_pressure,983,{},2023-09-21T03:11:39.933965+00:00,2023-09-21T03:11:39.933965+00:00
22,sensor.lumi_lumi_weather_pressure,984,{},2023-09-21T03:39:34.320042+00:00,2023-09-21T03:39:34.320042+00:00
23,sensor.lumi_lumi_weather_pressure,983,{},2023-09-21T04:05:08.805876+00:00,2023-09-21T04:05:08.805876+00:00
24,sensor.lumi_lumi_weather_pressure,984,{},2023-09-21T04:32:23.073209+00:00,2023-09-21T04:32:23.073209+00:00
25,sensor.lumi_lumi_weather_pressure,983,{},2023-09-21T04:53:16.932915+00:00,2023-09-21T04:53:16.932915+00:00
26,sensor.lumi_lumi_weather_pressure,982,{},2023-09-21T08:44:54.619364+00:00,2023-09-21T08:44:54.619364+00:00
27,sensor.lumi_lumi_weather_pressure,983,{},2023-09-21T09:03:08.476827+00:00,2023-09-21T09:03:08.476827+00:00
28,sensor.lumi_lumi_weather_pressure,982,{},2023-09-21T09:06:39.829948+00:00,2023-09-21T09:06:39.829948+00:00
29,sensor.lumi_lumi_weather_pressure,981,{},2023-09-21T11:10:50.329476+00:00,2023-09-21T11:10:50.329476+00:00
30,sensor.lumi_lumi_weather_pressure,980,{},2023-09-21T12:16:51.504030+00:00,2023-09-21T12:16:51.504030+00:00
31,sensor.lumi_lumi_weather_pressure,981,{},2023-09-21T12:37:24.763193+00:00,2023-09-21T12:37:24.763193+00:00
32,sensor.lumi_lumi_weather_pressure,980,{},2023-09-21T12:39:05.799167+00:00,2023-09-21T12:39:05.799167+00:00
33,sensor.lumi_lumi_weather_pressure,979,{},2023-09-21T13:44:06.633827+00:00,2023-09-21T13:44:06.633827+00:00
34,sensor.lumi_lumi_weather_pressure,980,{},2023-09-21T14:31:23.934287+00:00,2023-09-21T14:31:23.934287+00:00
35,sensor.lumi_lumi_weather_pressure,979,{},2023-09-21T15:15:01.057453+00:00,2023-09-21T15:15:01.057453+00:00
36,sensor.lumi_lumi_weather_pressure,980,{},2023-09-21T15:24:02.604088+00:00,2023-09-21T15:24:02.604088+00:00
37,sensor.lumi_lumi_weather_pressure,979,{},2023-09-21T16:18:43.332533+00:00,2023-09-21T16:18:43.332533+00:00
38,sensor.lumi_lumi_weather_pressure,978,{},2023-09-21T19:00:58.346090+00:00,2023-09-21T19:00:58.346090+00:00
39,sensor.lumi_lumi_weather_pressure,979,{},2023-09-21T19:01:48.759258+00:00,2023-09-21T19:01:48.759258+00:00
40,sensor.lumi_lumi_weather_pressure,978,{},2023-09-21T20:03:49.419451+00:00,2023-09-21T20:03:49.419451+00:00
41,sensor.lumi_lumi_weather_pressure,977,{},2023-09-21T22:03:50.393893+00:00,2023-09-21T22:03:50.393893+00:00
42,sensor.lumi_lumi_weather_pressure,978,{},2023-09-21T22:41:06.040575+00:00,2023-09-21T22:41:06.040575+00:00
43,sensor.lumi_lumi_weather_pressure,977,{},2023-09-21T22:50:28.210812+00:00,2023-09-21T22:50:28.210812+00:00
44,sensor.lumi_lumi_weather_pressure,978,{},2023-09-21T23:33:04.702026+00:00,2023-09-21T23:33:04.702026+00:00
45,sensor.lumi_lumi_weather_pressure,977,{},2023-09-22T00:28:04.261805+00:00,2023-09-22T00:28:04.261805+00:00
46,sensor.lumi_lumi_weather_pressure,976,{},2023-09-22T02:24:23.361272+00:00,2023-09-22T02:24:23.361272+00:00
47,sensor.lumi_lumi_weather_pressure,977,{},2023-09-22T03:13:41.034901+00:00,2023-09-22T03:13:41.034901+00:00
48,sensor.lumi_lumi_weather_pressure,976,{},2023-09-22T03:47:16.636581+00:00,2023-09-22T03:47:16.636581+00:00
49,sensor.lumi_lumi_weather_pressure,977,{},2023-09-22T04:13:20.696008+00:00,2023-09-22T04:13:20.696008+00:00
50,sensor.lumi_lumi_weather_pressure,976,{},2023-09-22T04:41:55.663585+00:00,2023-09-22T04:41:55.663585+00:00
51,sensor.lumi_lumi_weather_pressure,977,{},2023-09-22T05:10:20.068339+00:00,2023-09-22T05:10:20.068339+00:00
52,sensor.lumi_lumi_weather_pressure,976,{},2023-09-22T05:12:51.263465+00:00,2023-09-22T05:12:51.263465+00:00
53,sensor.lumi_lumi_weather_pressure,977,{},2023-09-22T06:06:09.196496+00:00,2023-09-22T06:06:09.196496+00:00
54,sensor.lumi_lumi_weather_pressure,976,{},2023-09-22T09:34:30.752239+00:00,2023-09-22T09:34:30.752239+00:00
55,sensor.lumi_lumi_weather_pressure,977,{},2023-09-22T09:51:41.439404+00:00,2023-09-22T09:51:41.439404+00:00
56,sensor.lumi_lumi_weather_pressure,976,{},2023-09-22T10:03:54.033751+00:00,2023-09-22T10:03:54.033751+00:00
57,sensor.lumi_lumi_weather_pressure,977,{},2023-09-22T10:51:36.071286+00:00,2023-09-22T10:51:36.071286+00:00
58,sensor.lumi_lumi_weather_pressure,976,{},2023-09-22T11:48:43.003182+00:00,2023-09-22T11:48:43.003182+00:00
59,sensor.lumi_lumi_weather_pressure,977,{},2023-09-22T11:49:43.448408+00:00,2023-09-22T11:49:43.448408+00:00
60,sensor.lumi_lumi_weather_pressure,978,{},2023-09-22T14:43:54.637895+00:00,2023-09-22T14:43:54.637895+00:00
61,sensor.lumi_lumi_weather_pressure,979,{},2023-09-22T18:19:03.754616+00:00,2023-09-22T18:19:03.754616+00:00
62,sensor.lumi_lumi_weather_pressure,978,{},2023-09-22T19:21:44.662971+00:00,2023-09-22T19:21:44.662971+00:00
63,sensor.lumi_lumi_weather_pressure,979,{},2023-09-22T20:10:42.056867+00:00,2023-09-22T20:10:42.056867+00:00
64,sensor.lumi_lumi_weather_pressure,978,{},2023-09-22T22:37:56.255476+00:00,2023-09-22T22:37:56.255476+00:00
65,sensor.lumi_lumi_weather_pressure,979,{},2023-09-22T23:01:04.672031+00:00,2023-09-22T23:01:04.672031+00:00
66,sensor.lumi_lumi_weather_pressure,978,{},2023-09-22T23:42:39.938875+00:00,2023-09-22T23:42:39.938875+00:00
67,sensor.lumi_lumi_weather_pressure,979,{},2023-09-23T00:29:51.573949+00:00,2023-09-23T00:29:51.573949+00:00
68,sensor.lumi_lumi_weather_pressure,980,{},2023-09-23T01:01:57.442142+00:00,2023-09-23T01:01:57.442142+00:00
69,sensor.lumi_lumi_weather_pressure,979,{},2023-09-23T01:03:08.412249+00:00,2023-09-23T01:03:08.412249+00:00
70,sensor.lumi_lumi_weather_pressure,980,{},2023-09-23T01:58:17.140832+00:00,2023-09-23T01:58:17.140832+00:00
71,sensor.lumi_lumi_weather_pressure,981,{},2023-09-23T03:48:10.770627+00:00,2023-09-23T03:48:10.770627+00:00
72,sensor.lumi_lumi_weather_pressure,980,{},2023-09-23T03:56:32.786831+00:00,2023-09-23T03:56:32.786831+00:00
73,sensor.lumi_lumi_weather_pressure,981,{},2023-09-23T04:03:44.126157+00:00,2023-09-23T04:03:44.126157+00:00
74,sensor.lumi_lumi_weather_pressure,982,{},2023-09-23T04:44:41.091429+00:00,2023-09-23T04:44:41.091429+00:00
75,sensor.lumi_lumi_weather_pressure,981,{},2023-09-23T04:53:13.172602+00:00,2023-09-23T04:53:13.172602+00:00
76,sensor.lumi_lumi_weather_pressure,982,{},2023-09-23T05:24:08.151333+00:00,2023-09-23T05:24:08.151333+00:00
77,sensor.lumi_lumi_weather_pressure,983,{},2023-09-23T05:37:40.936652+00:00,2023-09-23T05:37:40.936652+00:00
78,sensor.lumi_lumi_weather_pressure,982,{},2023-09-23T05:41:32.322771+00:00,2023-09-23T05:41:32.322771+00:00
79,sensor.lumi_lumi_weather_pressure,983,{},2023-09-23T06:29:10.346199+00:00,2023-09-23T06:29:10.346199+00:00
