,entity_id,state,attributes,last_changed,last_updated
0,sensor.lumi_lumi_weather_temperature,23.4,{},2023-09-20T00:00:00+00:00,2023-09-20T00:00:00+00:00
1,sensor.lumi_lumi_weather_temperature,23.3,{},2023-09-20T01:48:04.936004+00:00,2023-09-20T01:48:04.936004+00:00
2,sensor.lumi_lumi_weather_temperature,23.4,{},2023-09-20T02:01:17.644351+00:00,2023-09-20T02:01:17.644351+00:00
3,sensor.lumi_lumi_weather_temperature,23.3,{},2023-09-20T02:46:14.512816+00:00,2023-09-20T02:46:14.512816+00:00
4,sensor.lumi_lumi_weather_temperature,23.2,{},2023-09-20T04:25:30.532748+00:00,2023-09-20T04:25:30.532748+00:00
5,sensor.lumi_lumi_weather_temperature,23.1,{},2023-09-20T05:35:01.261617+00:00,2023-09-20T05:35:01.261617+00:00
6,sensor.lumi_lumi_weather_temperature,23.2,{},2023-09-20T06:13:07.624796+00:00,2023-09-20T06:13:07.624796+00:00
7,sensor.lumi_lumi_weather_temperature,23.3,{},2023-09-20T09:18:38.998171+00:00,2023-09-20T09:18:38.998171+00:00
8,sensor.lumi_lumi_weather_temperature,23.2,{},2023-09-20T09:19:59.421225+00:00,2023-09-20T09:19:59.421225+00:00
9,sensor.lumi_lumi_weather_temperature,23.3,{},2023-09-20T12:00:46.070103+00:00,2023-09-20T12:00:46.070103+00:00
10,sensor.lumi_lumi_weather_temperature,23.2,{},2023-09-20T12:53:54.706974+00:00,2023-09-20T12:53:54.706974+00:00
11,sensor.lumi_lumi_weather_temperature,23.3,{},2023-09-20T13:14:58.060417+00:00,2023-09-20T13:14:58.060417+00:00
12,sensor.lumi_lumi_weather_temperature,23.4,{},2023-09-20T14:30:00.021034+00:00,2023-09-20T14:30:00.021034+00:00
13,sensor.lumi_lumi_weather_temperature,23.3,{},2023-09-20T14:33:40.868349+00:00,2023-09-20T14:33:40.868349+00:00
14,sensor.lumi_lumi_weather_temperature,23.4,{},2023-09-20T16:26:12.432575+00:00,2023-09-20T16:26:12.432575+00:00
