dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1672531200,2023-01-01 00:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,12.72,10000,8.99,12.08,11.81,13.64,1015,,,78,2.57,190,,,,,,0,800,Clear,sky is clear,01n
1672534800,2023-01-01 01:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,13.04,10000,8.72,12.36,11.32,14.11,1015,,,75,3.6,200,,,,,,0,800,Clear,sky is clear,01n
1672538400,2023-01-01 02:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,12.35,10000,8.44,11.65,10.95,14.11,1015,,,77,5.14,210,,,,,,0,800,Clear,sky is clear,01n
1672542000,2023-01-01 03:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,12.82,10000,8.5,12.12,11.81,14.11,1015,,,75,4.92,205,12.96,,,,,0,800,Clear,sky is clear,01n
1672545600,2023-01-01 04:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,13.18,10000,8.25,12.43,12.52,14.44,1015,,,72,6.26,242,15.2,,,,,0,800,Clear,sky is clear,01n
1672549200,2023-01-01 05:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,13.01,10000,8.09,12.25,12.06,14.24,1015,,,72,5.14,220,,,,,,0,800,Clear,sky is clear,01n
1672552800,2023-01-01 06:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,12.78,10000,7.87,11.99,11.44,14.54,1016,,,72,4.63,220,,,,,,0,800,Clear,sky is clear,01n
1672556400,2023-01-01 07:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,12.75,10000,7.21,11.88,11.02,14.74,1017,,,69,5.66,220,,,,,,0,800,Clear,sky is clear,01d
1672560000,2023-01-01 08:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,13.27,10000,7.28,12.4,10.4,15.04,1017,,,67,5.14,220,,,,,,0,800,Clear,sky is clear,01d
1672563600,2023-01-01 09:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,14.39,10000,7.68,13.56,13.42,15.64,1018,,,64,4.63,210,,,,,,0,800,Clear,sky is clear,01d
1672567200,2023-01-01 10:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,15.12,10000,8.14,14.33,14.42,16.34,1018,,,63,4.63,220,,,,,,0,800,Clear,sky is clear,01d
1672570800,2023-01-01 11:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,16.07,10000,8.31,15.3,15.32,16.64,1017,,,60,6.71,215,12.07,,,,,0,800,Clear,sky is clear,01d
1672574400,2023-01-01 12:00:00 +0000 UTC,3600,Łódź,51.759248,19.455983,16.13,10000,8.37,15.37,15.62,16.64,1017,,,60,5.14,220,,,,,,0,800,Clear,sky is clear,01d
